,Title,Employee,Location,type,Expire_date,catogry
0,IT Business Analyst,Cenmetrix (Pvt) Ltd ,Colombo,Full-Time,30/05/2022 ,administration
1,Customer Relations Associate,Infyniti,Colombo,Full-Time,30/05/2022 ,administration
2,Female Receptionist / Guest Relation Officer,Amaran Aesthetic Medical Cosmetic & Laser Center,Colombo,Full-Time,30/05/2022 ,administration
3,Secretary ,B R DE SILVA & CO,Colombo,Full-Time,30/05/2022 ,administration
4,Coordinator,Abans PLC,Colombo,Full-Time,30/05/2022 ,administration
5,Principal ,Harrow International College,Kalutara,Full-Time,30/05/2022 ,administration
6,Internship - Human Resources,Abans PLC,Colombo,Full-Time,30/05/2022 ,administration
7,Administrative Coordinator,AMITHI POWER CONSULTANTS (PVT) LTD,Colombo,Full-Time,30/05/2022 ,administration
8,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,administration
9,Secretary,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,administration
10,Secretary ,B R DE SILVA & CO,Colombo,Full-Time,30/05/2022 ,administration
11,Administrative Coordinator,AMITHI POWER CONSULTANTS (PVT) LTD,Colombo,Full-Time,30/05/2022 ,administration
12,Internship - Human Resources,Abans PLC,Colombo,Full-Time,30/05/2022 ,administration
13,Principal ,Harrow International College,Kalutara,Full-Time,30/05/2022 ,administration
14,Female Receptionist / Guest Relation Officer,Amaran Aesthetic Medical Cosmetic & Laser Center,Colombo,Full-Time,30/05/2022 ,administration
15,IT Business Analyst,Cenmetrix (Pvt) Ltd ,Colombo,Full-Time,30/05/2022 ,administration
16,Customer Relations Associate,Infyniti,Colombo,Full-Time,30/05/2022 ,administration
17,Coordinator,Abans PLC,Colombo,Full-Time,30/05/2022 ,administration
18,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,administration
19,Secretary,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,administration
20,Buying Assistant,ISM Solutions,Colombo,Full-Time,30/05/2022 ,administration
21,Administrative Coordinator,Pyxeda (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,administration
22,Front Office Executive,Bellvantage (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,administration
23,Head of Digital/Lead Creative Strategist,Magic Labs,Colombo,Full-Time,30/05/2022 ,administration
24,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,administration
25,Senior Audit Executive,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,administration
26,Executive Secretary,Zentech Global PVT LTD,"WorkingFromHome,I...",Part-Time,30/05/2022 ,administration
27, Data Entry Operator ,John Keells Logistics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,administration
28,Client Services Associate ,Visual Studios,Colombo,Full-Time,30/05/2022 ,administration
29,Receptionist  - Female | Kandy ,Jeewa Education,Kandy,Full-Time,30/05/2022 ,administration
30,Audit Executive,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,administration
31,Legal Executive Assistant,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,administration
32,Projects Coordinator - Intern,Magic Labs,Colombo,Full-Time,26/05/2022 ,administration
33,Accounts Assistant - Male,Abans PLC,Colombo,Full-Time,27/05/2022 ,administration
34,Customer Relationship Assistant,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,administration
35,Data Entry Operator / Clerk,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,administration
36,Receptionist / Front Office - Male,YOUNG MEN'S CHRISTIAN ASSOCIATION OF COLOMBO,Colombo,Full-Time,27/05/2022 ,administration
37,Business Units Finance Manager | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,12/06/2022 ,administration
38,Intern - Technical,John Keells Office Automation (Pvt) Ltd.,Colombo,Full-Time,19/05/2022 ,administration
39,Intern - Admin / Operations ,John Keells Office Automation (Pvt) Ltd.,Colombo,Full-Time,19/05/2022 ,administration
40,Senior Lecturer/ Lecturer Hospitality Management,Australasian Academy,Colombo,Full-Time,27/05/2022 ,administration
41,Junior Internal Auditor - Male,Java Institute For Advanced Technology,Colombo,Full-Time,20/05/2022 ,administration
42,Front Desk Executive (Female) ,Thelivu Consultation (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,administration
43,Senior Executive / Executive Administration - Rathmalana,Ideal Group,Colombo,Full-Time,27/05/2022 ,administration
44,Walk In interview : Cashier Cum Clerk | Negombo / Matara / Kurunegala,Durdans Hospital,Kurunagala,Full-Time,27/05/2022 ,administration
45,Admin Executive - Rathmalana,Ideal Group,Colombo,Full-Time,27/05/2022 ,administration
46,Call Center Customer Relations Executive,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,administration
47,Senior - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,administration
48,Assistant Manager - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,administration
49,Consulting Administrative Support Assistant,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,administration
50,Personal Assistant To Managing Director,Nawaloka Hospitals PLC,Colombo,Full-Time,26/05/2022 ,administration
51,Executive  Assistant ,Emergen Life Sciences (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,administration
52,Secretary to Chairman and Corporate Office,Durdans Hospital,Colombo,Full-Time,26/05/2022 ,administration
53,Student Counsellors / Assistant Manager - Marketing,Australasian Academy,Colombo,Full-Time,27/05/2022 ,administration
54,Secretary to Chairman,DPJ Holdings,Colombo,Full-Time,26/05/2022 ,administration
