,Title,Employee,Location,type,Expire_date,catogry
0,Agriculture Officer - Male,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,agriculture
1,Manager Quality Assurance and Product Development | Wariyapola,Tropicoir Lanka (Pvt) Ltd,"Colombo,Kurunagala",Full-Time,26/05/2022 ,agriculture
2,Demonstrator ,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,agriculture
3,Executive Machine Operator - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
4,Executive - Sustainability,Tropicoir Lanka (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,agriculture
5,QA Manager - Katunayake,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
6,"Junior Executive (Kiln, Crusher, Electrolysis processes) - Katunayake | Male",Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
7,Plantation Specialist - Internal Audit - Plantation Sector,LOLC Holdings PLC,Colombo,Full-Time,24/05/2022 ,agriculture
8,Plantation Specialist - Internal Audit - Plantation Sector,LOLC Holdings PLC,Colombo,Full-Time,27/05/2022 ,agriculture
9,Operation Manager/Operation Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
10,Agriculture Officer - Male,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,agriculture
11,Manager Quality Assurance and Product Development | Wariyapola,Tropicoir Lanka (Pvt) Ltd,"Colombo,Kurunagala",Full-Time,26/05/2022 ,agriculture
12,QA Manager - Katunayake,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
13,Operation Manager/Operation Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
14,"Junior Executive (Kiln, Crusher, Electrolysis processes) - Katunayake | Male",Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
15,Executive Machine Operator - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,agriculture
16,Plantation Specialist - Internal Audit - Plantation Sector,LOLC Holdings PLC,Colombo,Full-Time,27/05/2022 ,agriculture
17,Plantation Specialist - Internal Audit - Plantation Sector,LOLC Holdings PLC,Colombo,Full-Time,24/05/2022 ,agriculture
18,Demonstrator ,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,agriculture
19,Executive - Sustainability,Tropicoir Lanka (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,agriculture
