,Title,Employee,Location,type,Expire_date,catogry
0,Marketing Coordinator ,Company Name Withheld 2,Colombo,Full-Time,26/05/2022 ,apparel
1,Analyst – Business Transformation | Ekala - Ja Ela,Accenture Lanka,"Colombo,Gampaha",Full-Time,26/05/2022 ,apparel
2,Sales Colleague - Fashion,ODEL PLC,Colombo,Full-Time,25/05/2022 ,apparel
3,Senior Analyst – Business Transformation | Ekala - Ja Ela,Accenture Lanka,Gampaha,Full-Time,26/05/2022 ,apparel
4,Junior Executive - Procurement ,Accenture Lanka,Colombo,Full-Time,20/05/2022 ,apparel
5,Fashion Consultant / Trainee Fashion Consultant,ODEL PLC,Colombo,Full-Time,25/05/2022 ,apparel
6,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,apparel
7,Junior Executive - Payroll,Accenture Lanka,Colombo,Full-Time,26/05/2022 ,apparel
8,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,apparel
9,Senior Production Manager ,JoLanka (Pvt) Ltd.,"Galle,Colombo,Kalu...",Full-Time,26/05/2022 ,apparel
10,Junior Executive - Payroll,Accenture Lanka,Colombo,Full-Time,26/05/2022 ,apparel
11,Sales Colleague - Fashion,ODEL PLC,Colombo,Full-Time,25/05/2022 ,apparel
12,Marketing Coordinator ,Company Name Withheld 2,Colombo,Full-Time,26/05/2022 ,apparel
13,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,apparel
14,Analyst – Business Transformation | Ekala - Ja Ela,Accenture Lanka,"Colombo,Gampaha",Full-Time,26/05/2022 ,apparel
15,Senior Production Manager ,JoLanka (Pvt) Ltd.,"Galle,Colombo,Kalu...",Full-Time,26/05/2022 ,apparel
16,Junior Executive - Procurement ,Accenture Lanka,Colombo,Full-Time,20/05/2022 ,apparel
17,Senior Analyst – Business Transformation | Ekala - Ja Ela,Accenture Lanka,Gampaha,Full-Time,26/05/2022 ,apparel
18,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,apparel
19,Fashion Consultant / Trainee Fashion Consultant,ODEL PLC,Colombo,Full-Time,25/05/2022 ,apparel
20,Executive - Production ,Texlan Center (Pvt) Ltd,Gampaha,Full-Time,24/05/2022 ,apparel
