,Title,Employee,Location,type,Expire_date,catogry
0,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
1,Senior Finance Analyst I2P | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,12/06/2022 ,automobile
2,Bodyshop Incharge - Puttalam,Ideal Group,Puttalam,Urgent,25/05/2022 ,automobile
3,Maintenance Assistant - Male | නඩත්තු සහකාර - පිරිමි,Mega Pay (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,automobile
4,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
5,Business Units Finance Manager | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,12/06/2022 ,automobile
6,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
7,Walk In Interview : Skilled - Mechanic / Painter / Technician / Tinker / Lubricant Technician / Auto AC Electrician / Auto Parts Assistant,Ideal Group,"Hambantota,Puttalam...",Full-Time,17/05/2022 ,automobile
8,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
9,Sales Executive - Colombo,Ideal Group,Colombo,Full-Time,30/05/2022 ,automobile
10,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
11,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
12,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
13,Business Units Finance Manager | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,12/06/2022 ,automobile
14,Senior Finance Analyst I2P | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,12/06/2022 ,automobile
15,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,automobile
16,Sales Executive - Colombo,Ideal Group,Colombo,Full-Time,30/05/2022 ,automobile
17,Maintenance Assistant - Male | නඩත්තු සහකාර - පිරිමි,Mega Pay (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,automobile
18,Walk In Interview : Skilled - Mechanic / Painter / Technician / Tinker / Lubricant Technician / Auto AC Electrician / Auto Parts Assistant,Ideal Group,"Hambantota,Puttalam...",Full-Time,17/05/2022 ,automobile
19,Bodyshop Incharge - Puttalam,Ideal Group,Puttalam,Urgent,25/05/2022 ,automobile
20,Assistant Manager - Quality Assurance | Ja Ela,Ideal Group,Colombo,Full-Time,26/05/2022 ,automobile
21,මෝටර් රථ පින්තාරු කරන්නා - Automobile Painter | Vavuniya / Puttalam / Rathmalana,Ideal Group,"Colombo,Puttalam,V...",Full-Time,26/05/2022 ,automobile
22,මෝටර් රථ ටින්කර් - Automobile Tinker | Kurunegala / Dambulla / Anuradhapura / Vavuniya / Wanawasala / Puttalam,Ideal Group,"Puttalam,Vavuniya,...",Full-Time,26/05/2022 ,automobile
23,Service Advisor - Anuradhapura / IFC Workshop,Ideal Group,Anuradhapura,Full-Time,26/05/2022 ,automobile
24,පැස්සුම් කරුවන් - ඒකල | Welders - Ekala ,Solex Group of Companies,Gampaha,Full-Time,25/05/2022 ,automobile
25,Executive - Software Developer,Ideal Group,Colombo,Full-Time,27/05/2022 ,automobile
26,ERP Executive,Ideal Group,Colombo,Full-Time,27/05/2022 ,automobile
27,Sales Executive,Ideal Group,"Anuradhapura,Badull...",Full-Time,27/05/2022 ,automobile
28,Automobile Engineer - Male,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,automobile
29,හෙද නිලධාරී ඇබෑර්තු - Nursing Officer ,Toyota Lanka,"Colombo,Gampaha",Full-Time,27/05/2022 ,automobile
30,Senior Cashier - Finance | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,09/06/2022 ,automobile
31,"සේවා උපදේශක - 2වීලර් / 3 වීලර් - පෑලියගොඩ, පානදුර | Service Advisor - 2 Wheeler / 3 Wheeler - Peliyagoda, Panadura",Abans PLC,"Gampaha,Kalutara",Full-Time,25/05/2022 ,automobile
32,Auto AC Electrician - Vavuniya,Ideal Group,Vavuniya,Full-Time,22/05/2022 ,automobile
33,Auto Parts Assistant | අමතර කොටස් ගබඩා සහායක - Ratnapura,Ideal Group,Ratnapura,Full-Time,22/05/2022 ,automobile
34,ලෙත් / මිලින් මැෂින් ඔපරේටර්ස්වරුන් -  ඒකල / පෑලියගොඩ / ගනේමුල්ල | Lath / Milling Machine Operators - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,25/05/2022 ,automobile
35,Senior Executive / Executive - Administration (Female),Ideal Group,Colombo,Full-Time,24/05/2022 ,automobile
36,Car Assembly Plant Vacancies in Finland ,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,24/05/2022 ,automobile
37,Marketing Executives - Female,Atni (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,automobile
