,Title,Employee,Location,type,Expire_date,catogry
0,Junior Operations Assistant  | Mahiyanganaya,Citizens Development Business Finance PLC (CDB),Badulla,Full-Time,30/05/2022 ,banking
1,Junior Operations Assistant  | Rajagiriya,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
2,Trainee Sales Officers - North Western Province ,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,30/05/2022 ,banking
3,Junior Operations Assistant  | Narammala,Citizens Development Business Finance PLC (CDB),Kurunagala,Full-Time,30/05/2022 ,banking
4,Engineering Service Executives | Mankulam / Kilinochchi / Paranthan / Puthukkudiyiruppu / Mallavi / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Jaffna,Kilinochchi,...",Full-Time,30/05/2022 ,banking
5,Junior Operations Assistant  | Dehiwala,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
6,Deputy Manager - Internal Audit,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,banking
7,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
8,Engineering Service Executives - Colombo ,Data Management Systems (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,banking
9,Internship - Internal Audit,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
10,Deputy Manager - Internal Audit,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,banking
11,Junior Operations Assistant  | Mahiyanganaya,Citizens Development Business Finance PLC (CDB),Badulla,Full-Time,30/05/2022 ,banking
12,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
13,Junior Operations Assistant  | Rajagiriya,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
14,Junior Operations Assistant  | Narammala,Citizens Development Business Finance PLC (CDB),Kurunagala,Full-Time,30/05/2022 ,banking
15,Internship - Internal Audit,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
16,Junior Operations Assistant  | Dehiwala,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,banking
