,Title,Employee,Location,type,Expire_date,catogry
0,Tele Marekting Executive,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,bpo-kpo
1,Associates - Contact Center Operations,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,bpo-kpo
2,Customer Service Executive (Male/Female),Copreus (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,bpo-kpo
3,Contact Centre Manager,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,bpo-kpo
4,Buying Assistant,ISM Solutions,Colombo,Full-Time,30/05/2022 ,bpo-kpo
5,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,bpo-kpo
6,Call Center Executive,Startek,Colombo,Full-Time,27/05/2022 ,bpo-kpo
7,Executive Secretary,Zentech Global PVT LTD,"WorkingFromHome,I...",Part-Time,30/05/2022 ,bpo-kpo
8,Customer Support Specialist,TetraNoc International Private Limited,Colombo,Full-Time,27/05/2022 ,bpo-kpo
9,Executive Customer Care,Bellvantage (Pvt) Ltd,Colombo,Full-Time or Part-Time,30/05/2022 ,bpo-kpo
10,Call Center Executive,Startek,Colombo,Full-Time,27/05/2022 ,bpo-kpo
11,Tele Marekting Executive,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,bpo-kpo
12,Associates - Contact Center Operations,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,bpo-kpo
13,Customer Support Specialist,TetraNoc International Private Limited,Colombo,Full-Time,27/05/2022 ,bpo-kpo
14,Contact Centre Manager,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,bpo-kpo
15,Executive Secretary,Zentech Global PVT LTD,"WorkingFromHome,I...",Part-Time,30/05/2022 ,bpo-kpo
16,Customer Service Executive (Male/Female),Copreus (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,bpo-kpo
17,Executive Customer Care,Bellvantage (Pvt) Ltd,Colombo,Full-Time or Part-Time,30/05/2022 ,bpo-kpo
18,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,bpo-kpo
19,Buying Assistant,ISM Solutions,Colombo,Full-Time,30/05/2022 ,bpo-kpo
20,Trainee Call Center Executive ,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,bpo-kpo
21,Tax Accountant,POP & Co Pty Ltd,"Colombo,WorkingFro...",Full-Time,27/05/2022 ,bpo-kpo
22,Dynamics CRM Consultant,IPD Colombo,Colombo,Full-Time,27/05/2022 ,bpo-kpo
23,Analyst – Business Transformation | Ekala - Ja Ela,Accenture Lanka,"Colombo,Gampaha",Full-Time,26/05/2022 ,bpo-kpo
24, Call Center Executive,Advanza BPO,Colombo,Full-Time,26/05/2022 ,bpo-kpo
25,Customer Service Executive,First Notch (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,bpo-kpo
26,Sales Executives / Sales Associate /  Junior Sales Associates,Global Leading Conferences (Pvt.) Ltd,Colombo,Full-Time,27/05/2022 ,bpo-kpo
