,Title,Employee,Location,type,Expire_date,catogry
0,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,business-management
1,Management Trainee,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
2,Junior Operations Assistant  | Narammala,Citizens Development Business Finance PLC (CDB),Kurunagala,Full-Time,30/05/2022 ,business-management
3,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,business-management
4,Front Desk Coordinator ,Kay Jay Electronics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,business-management
5,Secretary ,B R DE SILVA & CO,Colombo,Full-Time,30/05/2022 ,business-management
6,වෙළඳ විධායකයන් - Kiddies & Toys International,LIMRA Holdings Limited,Colombo,Full-Time,30/05/2022 ,business-management
7,IT Business Analyst,Cenmetrix (Pvt) Ltd ,Colombo,Full-Time,30/05/2022 ,business-management
8,Coordinator,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
9,Assistant Manager – Business Development,Charmante,Colombo,Full-Time,30/05/2022 ,business-management
10,Front Desk Coordinator ,Kay Jay Electronics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,business-management
11,Junior Operations Assistant  | Narammala,Citizens Development Business Finance PLC (CDB),Kurunagala,Full-Time,30/05/2022 ,business-management
12,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,business-management
13,Coordinator,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
14,වෙළඳ විධායකයන් - Kiddies & Toys International,LIMRA Holdings Limited,Colombo,Full-Time,30/05/2022 ,business-management
15,Secretary ,B R DE SILVA & CO,Colombo,Full-Time,30/05/2022 ,business-management
16,Assistant Manager – Business Development,Charmante,Colombo,Full-Time,30/05/2022 ,business-management
17,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,business-management
18,IT Business Analyst,Cenmetrix (Pvt) Ltd ,Colombo,Full-Time,30/05/2022 ,business-management
19,Management Trainee,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
20,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,business-management
21,"Teacher | Business Studies, Computer Science (O/L)",Harrow International College,Kalutara,Full-Time,30/05/2022 ,business-management
22,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
23,Link Building Specialist ,Alfamedio LTD,Colombo,Full-Time or Part-Time,30/05/2022 ,business-management
24,Pre - Sales Engineer,Unique Infotech Solutions,Colombo,Full-Time,30/05/2022 ,business-management
25,Administrative Coordinator,AMITHI POWER CONSULTANTS (PVT) LTD,Colombo,Full-Time,30/05/2022 ,business-management
26,Trainee Sales Officers - North Western Province ,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,30/05/2022 ,business-management
27,Principal ,Harrow International College,Kalutara,Full-Time,30/05/2022 ,business-management
28,Sales Officers - North Western Province ,Dialog Finance PLC,"Kurunagala,Puttalam",Full-Time,30/05/2022 ,business-management
29,Management Trainee - Supermarkets,Softlogic GLOMARK,Colombo,Full-Time,30/05/2022 ,business-management
30,Purchasing Executive (Imports) - Male | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
31,Procurement and Logistics Manager | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
32,Manager - Alternate Channels,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,business-management
33,Vacancies for Retired or Tobe - Government/ Private Staff Sales & Marketing Executives,AIA Insurance,Colombo,Full-Time,30/05/2022 ,business-management
34,Trainee Sales Officers - Central Province,Dialog Finance PLC,"Kandy,Matale,Nuwar...",Full-Time,30/05/2022 ,business-management
35,Store Manager - Panadura,ODEL PLC,Kalutara,Full-Time,30/05/2022 ,business-management
36,Senior Audit Executive,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,business-management
37,Trainee Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,business-management
38,Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,business-management
39,Internship - Human Resources,Abans PLC,Colombo,Full-Time,30/05/2022 ,business-management
40,Business Development Executive (Galle / Matara / Anuradhapura / Ratnapura),Durdans Hospital,"Galle,Anuradhapura,...",Full-Time,30/05/2022 ,business-management
