,Title,Employee,Location,type,Expire_date,catogry
0,Financial Controller,Beijing Enterprises Water Group Limited,Colombo,Full-Time,27/05/2022 ,construction
1,Secretary,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,construction
2,Senior Sales Executive (Real Estate),Vogue Real Estate (Pvt) Ltd,Colombo,Full-Time,20/05/2022 ,construction
3,Finance Manager,State Ministry of Rural Housing and Construction and Building Materials Industries Promotion,Colombo,Contract Basis,19/05/2022 ,construction
4,Business Development Executive (Female) ,Millerholz (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,construction
5,Helper - සහායකයා,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,construction
6,Sales and Marketing Executive,CareerCo Jobs,Colombo,Full-Time,30/05/2022 ,construction
7,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,construction
8,Supervisor / Technical Officer-Aluminium,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,construction
9,Technical Officers / Hardware & Network Technician,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,construction
10,Business Development Executive (Female) ,Millerholz (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,construction
11,Financial Controller,Beijing Enterprises Water Group Limited,Colombo,Full-Time,27/05/2022 ,construction
12,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,construction
13,Sales and Marketing Executive,CareerCo Jobs,Colombo,Full-Time,30/05/2022 ,construction
14,Supervisor / Technical Officer-Aluminium,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,construction
15,Finance Manager,State Ministry of Rural Housing and Construction and Building Materials Industries Promotion,Colombo,Contract Basis,19/05/2022 ,construction
16,Senior Sales Executive (Real Estate),Vogue Real Estate (Pvt) Ltd,Colombo,Full-Time,20/05/2022 ,construction
17,Helper - සහායකයා,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,construction
18,Technical Officers / Hardware & Network Technician,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,construction
19,Secretary,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,construction
20,විදුලි කාර්මික ශිල්පීන්  /සිවිල් කාර්මික ශිල්පීන් /ජලනල කාර්මික ශිල්පීන් - කොළඹ / ජා-එලා,Realty Management Services (Pvt) Ltd,"Colombo,Gampaha",Full-Time,25/05/2022 ,construction
21,සහායක / Helper,Realty Management Services (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,construction
22,Interior Designer / Draftsman,WIDAC Commercial Interiors (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,construction
23,Deputy Chief Executive Officer,Construction Guarantee Fund Employment,Colombo,Full-Time,26/05/2022 ,construction
24,රැකියා ඇබෑර්තු -  විදුලි කාර්මික ශිල්පීන් -  රාගම,Realty Management Services (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,construction
25,Interior Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 ,construction
26,BMS Technician (Building Management Systems) / BMS කාර්මිකයින්  (ගොඩනැගිලි කළමනාකරණ පද්ධති),ASSOCIATED ENGINEERING,"ForeignJob,Island...",Contract Basis,25/05/2022 ,construction
27,Real Estate Agents - Southern Province,Re/Max Southern Properties,"Galle,Hambantota,M...",Full-Time,26/05/2022 ,construction
28,ඉදිකිරීම් යන්ත්‍රෝපකරණ පුහුණු NVQ 3 සහ 4 පාඨමාලා,Maga Neguma Road Construction Equipment Company,IslandWide,Other,25/05/2022 ,construction
29,CAD Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 ,construction
