,Title,Employee,Location,type,Expire_date,catogry
0,Female Receptionist / Guest Relation Officer,Amaran Aesthetic Medical Cosmetic & Laser Center,Colombo,Full-Time,30/05/2022 ,customer-service
1,Trainee Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,customer-service
2,Sales and Marketing Executive,CareerCo Jobs,Colombo,Full-Time,30/05/2022 ,customer-service
3,Trainee Sales Officers - North Western Province ,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,30/05/2022 ,customer-service
4,Sales Officers - North Western Province ,Dialog Finance PLC,"Kurunagala,Puttalam",Full-Time,30/05/2022 ,customer-service
5,Front Desk Coordinator ,Kay Jay Electronics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
6,Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,customer-service
7,Customer Relations Associate,Infyniti,Colombo,Full-Time,30/05/2022 ,customer-service
8,Sales Executive – Corporate ,Switz Lanka Pvt Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
9,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,customer-service
10,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,customer-service
11,Sales Executive – Corporate ,Switz Lanka Pvt Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
12,Sales Officers - North Western Province ,Dialog Finance PLC,"Kurunagala,Puttalam",Full-Time,30/05/2022 ,customer-service
13,Trainee Sales Officers - North Western Province ,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,30/05/2022 ,customer-service
14,Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,customer-service
15,Sales and Marketing Executive,CareerCo Jobs,Colombo,Full-Time,30/05/2022 ,customer-service
16,Front Desk Coordinator ,Kay Jay Electronics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
17,Female Receptionist / Guest Relation Officer,Amaran Aesthetic Medical Cosmetic & Laser Center,Colombo,Full-Time,30/05/2022 ,customer-service
18,Customer Relations Associate,Infyniti,Colombo,Full-Time,30/05/2022 ,customer-service
19,Trainee Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,customer-service
20,Hindi - Tele Sales Executive ,Global BPO Technologies (Pvt) Ltd,Colombo,Full-Time or Part-Time,30/05/2022 ,customer-service
21,Customer Service Assistant (Trainee / Experienced) - Kurunegala,Softlogic GLOMARK,Kurunagala,Full-Time,30/05/2022 ,customer-service
22,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,customer-service
23,Crew Member - (Full Time),Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,customer-service
24,Tele Marekting Executive,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
25,Trainee Sales Officers - Central Province,Dialog Finance PLC,"Kandy,Matale,Nuwar...",Full-Time,30/05/2022 ,customer-service
26,Crew Member - (Full Time) - Union Place,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,customer-service
27,Store Manager - Panadura,ODEL PLC,Kalutara,Full-Time,30/05/2022 ,customer-service
28,Associates - Contact Center Operations,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
29,Crew Member (Part Time) ,Domino's Pizza Sri Lanka,IslandWide,Part-Time,30/05/2022 ,customer-service
30,Crew Member - (Full Time) - Seeduwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,30/05/2022 ,customer-service
31,Crew Member - (Full Time) - Nawala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,customer-service
32,Crew Member - (Full Time) - Piliyandala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,customer-service
33,Crew Member - (Full Time) - Kiribathgoda,Domino's Pizza Sri Lanka,"Colombo,Gampaha",Full-Time,30/05/2022 ,customer-service
34,Receptionist  - Female | Kandy ,Jeewa Education,Kandy,Full-Time,30/05/2022 ,customer-service
35,Crew Member - (Full Time) - Aluthgama,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,customer-service
36,Crew Member - (Full Time) - Kottawa,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,customer-service
37,Call Centre Trainees/Assistants,Asia Asset Finance PLC,Colombo,Full-Time,30/05/2022 ,customer-service
38,Crew Member - (Full Time) - Pitakotte,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,customer-service
39,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,customer-service
40,Front Office Executive,Bellvantage (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
41,Customer Relationship Assistant,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,customer-service
42,Tele Calling Agents (Fixed Term Contract) - Colombo,Nations Trust Bank,Colombo,Contract Basis,30/05/2022 ,customer-service
43,Contact Centre Manager,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,customer-service
44,Client Services Associate ,Visual Studios,Colombo,Full-Time,30/05/2022 ,customer-service
45,Buying Assistant,ISM Solutions,Colombo,Full-Time,30/05/2022 ,customer-service
46,Account Planner - Immediate Hire,Visual Studios,Colombo,Full-Time,30/05/2022 ,customer-service
47,Manager - Client Acquisition,Visual Studios,Colombo,Full-Time,30/05/2022 ,customer-service
48,Business Development Officers - Kandy / Kurunegala,Nations Trust Bank,"Kandy,Kurunagala",Full-Time,30/05/2022 ,customer-service
49,Executive Customer Care,Bellvantage (Pvt) Ltd,Colombo,Full-Time or Part-Time,30/05/2022 ,customer-service
50,Product Implementation / Support Engineer,Vetstoria,Colombo,Full-Time,27/05/2022 ,customer-service
51,Senior Retail Sales Associates (Credit Cards) ,HSBC Sri Lanka,Colombo,Full-Time,26/05/2022 ,customer-service
52,Trainee Call Center Executive ,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,customer-service
53,Call Center Executive,Startek,Colombo,Full-Time,27/05/2022 ,customer-service
54,Trainee Sales Officers - Western Province,Dialog Finance PLC,"Colombo,Gampaha,Ka...",Full-Time,30/05/2022 ,customer-service
55,මුදල් අයකැමි - Cashier | Islandwide,LAUGFS Super,IslandWide,Urgent,17/05/2022 ,customer-service
56,Customer Service Associate - Full Time / Part Time,Dialog Business Services (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,customer-service
57,Customer Service Executive (Male/Female),Copreus (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,customer-service
58,Customer Support Specialist,TetraNoc International Private Limited,Colombo,Full-Time,27/05/2022 ,customer-service
59,Receptionist / Front Office - Male,YOUNG MEN'S CHRISTIAN ASSOCIATION OF COLOMBO,Colombo,Full-Time,27/05/2022 ,customer-service
60,Sales Officers - Sabaragamuwa Province,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,27/05/2022 ,customer-service
61,Trainee Sales Officers - Sabaragamuwa Province ,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,27/05/2022 ,customer-service
62,Sales Executives / Sales Associate /  Junior Sales Associates,Global Leading Conferences (Pvt.) Ltd,Colombo,Full-Time,27/05/2022 ,customer-service
63,Trolly Pusher & Baggers - Part Time - Negombo,Softlogic GLOMARK,Gampaha,Part-Time,27/05/2022 ,customer-service
64,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Nawala,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,customer-service
65,Local Purchasing Executive - Male,Abans PLC,Colombo,Full-Time,27/05/2022 ,customer-service
66,ServiceNow Developer,ESSHVA,Colombo,Full-Time,27/05/2022 ,customer-service
67,Commi I / Commi II / Commi III / Cashier - (Trainee/Experienced) - Mount Lavania,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,customer-service
68,Business Development Executive (Female) ,Millerholz (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,customer-service
69,Trainee Sales Officers - Uva Province,Dialog Finance PLC,"Badulla,Moneragala",Full-Time,27/05/2022 ,customer-service
70,Customer Service Executive,BA Training Group,Colombo,Full-Time,27/05/2022 ,customer-service
71,Call Center Customer Relations Executive,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,customer-service
72,Call Centre Telemarketing Executives,Intellize Technologies,Colombo,Full-Time,27/05/2022 ,customer-service
73,Executive - Customer Care,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,customer-service
