,Title,Employee,Location,type,Expire_date,catogry
0,Delivery Rider (Full Time) ,Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,delivery-driving-transport
1,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,delivery-driving-transport
2,Delivery Riders - Kurunegala (Male/Female) - Pickme Food,PickMe,Kurunagala,Full-Time,30/05/2022 ,delivery-driving-transport
3,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,delivery-driving-transport
4,Delivery Riders - Colombo District (Male/Female) - Pickme Food,PickMe,Colombo,Full-Time,30/05/2022 ,delivery-driving-transport
5,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,delivery-driving-transport
6,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,delivery-driving-transport
7,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,delivery-driving-transport
8,Delivery Rider  (Part Time) ,Domino's Pizza Sri Lanka,IslandWide,Part-Time,30/05/2022 ,delivery-driving-transport
9,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,delivery-driving-transport
10,Delivery Rider  (Part Time) ,Domino's Pizza Sri Lanka,IslandWide,Part-Time,30/05/2022 ,delivery-driving-transport
11,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,delivery-driving-transport
12,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,delivery-driving-transport
13,Delivery Riders - Kurunegala (Male/Female) - Pickme Food,PickMe,Kurunagala,Full-Time,30/05/2022 ,delivery-driving-transport
14,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,delivery-driving-transport
15,Delivery Riders - Colombo District (Male/Female) - Pickme Food,PickMe,Colombo,Full-Time,30/05/2022 ,delivery-driving-transport
16,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,delivery-driving-transport
17,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,delivery-driving-transport
18,Delivery Rider (Full Time) ,Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,delivery-driving-transport
19,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,delivery-driving-transport
