,Title,Employee,Location,type,Expire_date,catogry
0,"Teacher | Business Studies, Computer Science (O/L)",Harrow International College,Kalutara,Full-Time,30/05/2022 ,education
1,"Subject Coaching - Math, Science, English",Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
2,Principal ,Harrow International College,Kalutara,Full-Time,30/05/2022 ,education
3,English Language Coach ,Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
4,English Teacher,AIESEC Sri Lanka,ForeignJob,Full-Time,30/05/2022 ,education
5, Teachers |  Advanced Level (Engineering/ Science) ,"Loyola College, Daluwakotuwa",Gampaha,Full-Time,30/05/2022 ,education
6,Early Childhood Coach ,Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
7,Marketing Executive / Interns - Marketing - Colombo,Pioneer Institute of Business & Technology,Colombo,Full-Time,30/05/2022 ,education
8,Teachers : Civics (English Medium)    ,"Loyola College, Daluwakotuwa","Colombo,Gampaha",Full-Time,30/05/2022 ,education
9,Preschool Teacher ,Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
10,Principal ,Harrow International College,Kalutara,Full-Time,30/05/2022 ,education
11,Teachers : Civics (English Medium)    ,"Loyola College, Daluwakotuwa","Colombo,Gampaha",Full-Time,30/05/2022 ,education
12,English Language Coach ,Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
13,Preschool Teacher ,Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
14,Marketing Executive / Interns - Marketing - Colombo,Pioneer Institute of Business & Technology,Colombo,Full-Time,30/05/2022 ,education
15,English Teacher,AIESEC Sri Lanka,ForeignJob,Full-Time,30/05/2022 ,education
16,"Teacher | Business Studies, Computer Science (O/L)",Harrow International College,Kalutara,Full-Time,30/05/2022 ,education
17,"Subject Coaching - Math, Science, English",Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
18,Early Childhood Coach ,Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,education
19, Teachers |  Advanced Level (Engineering/ Science) ,"Loyola College, Daluwakotuwa",Gampaha,Full-Time,30/05/2022 ,education
20,Director / Chief Executive Officer - University College of Batangala,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,education
21,Executive – Customer Relations | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,education
22,Director / Chief Executive Officer - University College of Matara,University of Vocational Technology,Matara,Permanent,31/05/2022 ,education
23,Video editor,BA Training Group,Colombo,Full-Time,27/05/2022 ,education
24,Digital Marketing Specialist (Female),SIEM Galle Campus,Galle,Full-Time,27/05/2022 ,education
25,Director / Chief Executive Officer - University College of Kuliyapitiya,University of Vocational Technology,Kurunagala,Permanent,31/05/2022 ,education
26,IT Teacher / Instructor,Pyxeda (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,education
27,Receptionist  - Female | Kandy ,Jeewa Education,Kandy,Full-Time,30/05/2022 ,education
28,Coordinator - Academic Programmes,BA Training Group,Colombo,Full-Time,27/05/2022 ,education
29,Executive - Academic Programs Management | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,education
30,Technical Officer (Laboratory),University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,education
31,Student Counsellor ,Pride International - Education & Migration Consultants,Colombo,Full-Time,26/05/2022 ,education
