,Title,Employee,Location,type,Expire_date,catogry
0,Technician : Electronic - කාර්මික: ඉලෙක්ට්‍රොනික,Levlin Holdings (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,electronics
1,Procurement and Logistics Manager | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,electronics
2,Electrician - විදුලි කාර්මික ,Levlin Holdings (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,electronics
3,Software Engineer / Senior Software Engineer (React.js Development),LankaSolution Enterprise (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,electronics
4,Engineering Service Executives - Colombo ,Data Management Systems (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,electronics
5,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,electronics
6,Software Engineer / Senior Software Engineer - Java Development,LankaSolution Enterprise (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,electronics
7,Engineering Service Executives | Mankulam / Kilinochchi / Paranthan / Puthukkudiyiruppu / Mallavi / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Jaffna,Kilinochchi,...",Full-Time,30/05/2022 ,electronics
8,Electronic Technician,Emerging Media,Colombo,Full-Time,30/05/2022 ,electronics
9,Engineering Service Executives | Vavuniya / Medawachchiya / Padaviya / Kebithigollawa / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Anuradhapura,Mannar...",Full-Time,30/05/2022 ,electronics
10,Electronic Technician,Emerging Media,Colombo,Full-Time,30/05/2022 ,electronics
11,Software Engineer / Senior Software Engineer (React.js Development),LankaSolution Enterprise (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,electronics
12,Engineering Service Executives | Mankulam / Kilinochchi / Paranthan / Puthukkudiyiruppu / Mallavi / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Jaffna,Kilinochchi,...",Full-Time,30/05/2022 ,electronics
13,Engineering Service Executives | Vavuniya / Medawachchiya / Padaviya / Kebithigollawa / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Anuradhapura,Mannar...",Full-Time,30/05/2022 ,electronics
14,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,electronics
15,Procurement and Logistics Manager | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,electronics
16,Electrician - විදුලි කාර්මික ,Levlin Holdings (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,electronics
