,Title,Employee,Location,type,Expire_date,catogry
0,Engineering Service Executives | Mankulam / Kilinochchi / Paranthan / Puthukkudiyiruppu / Mallavi / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Jaffna,Kilinochchi,...",Full-Time,30/05/2022 ,engineering
1,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,engineering
2,Software Engineer / Senior Software Engineer (React.js Development),LankaSolution Enterprise (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,engineering
3,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,engineering
4,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,engineering
5,Engineering Service Executives | Vavuniya / Medawachchiya / Padaviya / Kebithigollawa / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Anuradhapura,Mannar...",Full-Time,30/05/2022 ,engineering
6,Software Engineer / Senior Software Engineer - Java Development,LankaSolution Enterprise (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,engineering
7,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,engineering
8,Secretary,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,engineering
9,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,engineering
10,Software Engineer / Senior Software Engineer - Java Development,LankaSolution Enterprise (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,engineering
11,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,engineering
12,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,engineering
13,Secretary,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,engineering
14,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,engineering
15,Software Engineer / Senior Software Engineer (React.js Development),LankaSolution Enterprise (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,engineering
16,Engineering Service Executives | Mankulam / Kilinochchi / Paranthan / Puthukkudiyiruppu / Mallavi / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Jaffna,Kilinochchi,...",Full-Time,30/05/2022 ,engineering
