,Title,Employee,Location,type,Expire_date,catogry
0,Executive Machine Operator - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,environment
1,Manager Quality Assurance and Product Development | Wariyapola,Tropicoir Lanka (Pvt) Ltd,"Colombo,Kurunagala",Full-Time,26/05/2022 ,environment
2,Executive - Sustainability,Tropicoir Lanka (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,environment
3,"Junior Executive (Kiln, Crusher, Electrolysis processes) - Katunayake | Male",Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,environment
4,Hairdressers / Beauticians | Female/Male,Sleek Salon,Colombo,Full-Time,27/05/2022 ,environment
5,Executive - Compliance,Texlan Center (Pvt) Ltd,Gampaha,Full-Time,24/05/2022 ,environment
6,Junior Phlebotomist,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,environment
7,Executive - Maintenance & Safety | Male,Emerchemie NB (Ceylon) Limited,Colombo,Full-Time,24/05/2022 ,environment
8,Veterinary Assistant/ Vet Helper - Male | පශු වෛද්‍ය සහායක / වෙට් සහයක - පිරිමි,Save a Paw Shelter,"Colombo,Gampaha",Full-Time,24/05/2022 ,environment
9,Operation Manager/Operation Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,environment
10,Manager Quality Assurance and Product Development | Wariyapola,Tropicoir Lanka (Pvt) Ltd,"Colombo,Kurunagala",Full-Time,26/05/2022 ,environment
11,Operation Manager/Operation Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,environment
12,"Junior Executive (Kiln, Crusher, Electrolysis processes) - Katunayake | Male",Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,environment
13,Executive - Maintenance & Safety | Male,Emerchemie NB (Ceylon) Limited,Colombo,Full-Time,24/05/2022 ,environment
14,Veterinary Assistant/ Vet Helper - Male | පශු වෛද්‍ය සහායක / වෙට් සහයක - පිරිමි,Save a Paw Shelter,"Colombo,Gampaha",Full-Time,24/05/2022 ,environment
15,Executive - Sustainability,Tropicoir Lanka (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,environment
16,Executive - Compliance,Texlan Center (Pvt) Ltd,Gampaha,Full-Time,24/05/2022 ,environment
17,Hairdressers / Beauticians | Female/Male,Sleek Salon,Colombo,Full-Time,27/05/2022 ,environment
18,Executive Machine Operator - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,environment
19,Junior Phlebotomist,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,environment
