,Title,Employee,Location,type,Expire_date,catogry
0,Commis – (Hot) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,fmcg
1,Delivery Rider (Full Time) ,Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,fmcg
2,Crew Member - (Full Time),Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,fmcg
3,Crew Captain / Members,Cafe Chocolattie,Colombo,Full-Time,30/05/2022 ,fmcg
4,Chef De Partie - (Pastry) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,fmcg
5,Restaurant Waiter ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,fmcg
6,Baker - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,fmcg
7,Restaurant Helper,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,fmcg
8,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,fmcg
9,Finance Assistant,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
10,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,fmcg
11,Crew Member - (Full Time),Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,fmcg
12,Commis – (Hot) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,fmcg
13,Finance Assistant,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
14,Restaurant Waiter ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,fmcg
15,Delivery Rider (Full Time) ,Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,fmcg
16,Baker - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,fmcg
17,Chef De Partie - (Pastry) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,fmcg
18,Crew Captain / Members,Cafe Chocolattie,Colombo,Full-Time,30/05/2022 ,fmcg
19,Restaurant Helper,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,fmcg
20,Crew Member (Part Time) ,Domino's Pizza Sri Lanka,IslandWide,Part-Time,30/05/2022 ,fmcg
21,Crew Member - (Full Time) - Kottawa,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
22,Crew Member - (Full Time) - Pitakotte,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
23,Crew Member - (Full Time) - Seeduwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,30/05/2022 ,fmcg
24,Crew Member - (Full Time) - Nawala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
25,Crew Member - (Full Time) - Union Place,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
26,Delivery Rider  (Part Time) ,Domino's Pizza Sri Lanka,IslandWide,Part-Time,30/05/2022 ,fmcg
27,කර්මාන්තශාලා සහයක / Store Assistant (බොල්ලෑගල - කැලණිය),Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
28,Crew Member - (Full Time) - Piliyandala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
29,Crew Member - (Full Time) - Kiribathgoda,Domino's Pizza Sri Lanka,"Colombo,Gampaha",Full-Time,30/05/2022 ,fmcg
30,Delivery Riders - Gampaha (Male/Female) - Pickme Flash,PickMe,Gampaha,Full-Time,30/05/2022 ,fmcg
31,Delivery Riders - Colombo (Male/Female) - Pickme Flash,PickMe,Colombo,Full-Time,30/05/2022 ,fmcg
32,Delivery Riders - Colombo District (Male/Female) - Pickme Food,PickMe,Colombo,Full-Time,30/05/2022 ,fmcg
33,Delivery Riders - Kandy (Male/Female) - Pickme Food,PickMe,Kandy,Full-Time,30/05/2022 ,fmcg
34,Female Delivery Riders - PickMe Lady,PickMe,"Colombo,Kandy,Gamp...",Full-Time or Part-Time,30/05/2022 ,fmcg
35,Maintenance – Team member,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
36,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,fmcg
37,Delivery Riders - Kurunegala (Male/Female) - Pickme Food,PickMe,Kurunagala,Full-Time,30/05/2022 ,fmcg
38,Crew Member - (Full Time) - Aluthgama,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
39,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,fmcg
40,මුදල් අයකැමි - Cashier | Islandwide,LAUGFS Super,IslandWide,Urgent,17/05/2022 ,fmcg
41,Delivery Riders - Kandy (Male/Female) - Pickme Flash,PickMe,Kandy,Full-Time,30/05/2022 ,fmcg
42,"WALK IN INTERVIEW : Crew Member/ Kitchen Helper -  (කොළඹ 05, නාවල, ගල්කිස්ස, කොළඹ 03, තලවතුගොඩ) | Full'r",Giga Foods Pvt Ltd,IslandWide,Full-Time,20/05/2022 ,fmcg
43,Trainee Shift Managers | Colombo,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,fmcg
44,Delivery Riders - Kurunegala (Male/Female) - Pickme Flash,PickMe,Kurunagala,Full-Time,30/05/2022 ,fmcg
45,බේකරී අංශය  - Chef De Partie / Demi Chef De Partie / Commi I / Commi II / Commi III | Islandwide,LAUGFS Super,"Colombo,IslandWide",Urgent,17/05/2022 ,fmcg
46,Delivery Rider (Full- Time) - Mount Lavinia ( TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,20/05/2022 ,fmcg
47,Delivery Rider (Full- Time) - Delgoda,Pizza Hut Sri Lanka,Colombo,Full-Time,27/05/2022 ,fmcg
48,Delivery Riders - (Full-Time) - Kottawa | Male TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,19/05/2022 ,fmcg
49,Delivery Rider (Full- Time) - Horana,Pizza Hut Sri Lanka,Gampaha,Full-Time,27/05/2022 ,fmcg
50,Research and Development (R&D) Chef,The Urban Spice Shop (Pvt) Ltd,Colombo,Part-Time,27/05/2022 ,fmcg
51,Delivery Rider (Full- Time) - Kalmunai,Pizza Hut Sri Lanka,Batticaloa,Full-Time,27/05/2022 ,fmcg
52,Commi I / Commi II / Commi  III - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,fmcg
53,Data Entry Operator / Clerk,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,fmcg
54,Order Assembler - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,fmcg
55,Delivery Rider - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,fmcg
56,Kitchen Helper - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,fmcg
57,Commis II / Commis I / Demi Chef - Thai / Chinese / Japanese,Food Studio (Pvt.) Ltd.,Colombo,Full-Time,27/05/2022 ,fmcg
58,Kitchen Stewards / Trainee Chef / Commis III,Food Studio (Pvt.) Ltd.,Colombo,Full-Time,27/05/2022 ,fmcg
59,Steward - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,fmcg
60,Restaurant Crew Member,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,fmcg
61,Commi I / Commi II / Commi III / Cashier - (Trainee/Experienced) - Mount Lavania,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,fmcg
62,Qualified Chefs and Hospitality Professionals,Affinity Migration,Colombo,Full-Time,27/05/2022 ,fmcg
63,Delivery Riders / Senior Delivery Riders ,Burger King,"Colombo,Gampaha,Ka...",Full-Time,27/05/2022 ,fmcg
64,සුපවේදී - කැලණිය / මාලබේ | Chef - Kelaniya / Malabe,Raffles Consolidated (Pvt) Ltd,Colombo,Permanent,27/05/2022 ,fmcg
65,Crew Members / Senior Crew Members | Moratuwa / Town Hall (ODEL),Baskin Robbins,Colombo,Full-Time,27/05/2022 ,fmcg
66,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Nawala,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,fmcg
67,Demi Chef (Pastry & Bakery),Delifrance Sri Lanka ,Colombo,Full-Time,27/05/2022 ,fmcg
68,Crew Member / Senior Crew Member ,Burger King,"Colombo,Gampaha",Full-Time,27/05/2022 ,fmcg
69,කෝකිවරයන් - බියගම / කැලණිය  / වවුනියාව | Cooks - Biyagama / Kelaniya / Vavuniya,Raffles Consolidated (Pvt) Ltd,Colombo,Permanent,27/05/2022 ,fmcg
70,Walk In Interview : Customer Service Assistant / Cashier / Hot Kitchen / Bakery | Galle,Keells ,Galle,Full-Time,26/05/2022 ,fmcg
71,Delivery Rider (Full- Time) - Athurugiriya,Pizza Hut Sri Lanka,Colombo,Full-Time,26/05/2022 ,fmcg
72,Senior Waiter / Senior Waitress,Crystal Jade Hong Kong Kitchen,Colombo,Full-Time,27/05/2022 ,fmcg
73,Demonstrator ,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,fmcg
74,Delivery Rider (Full Time) – Rathnapura District ,Pizza Hut Sri Lanka,Ratnapura,Full-Time,27/05/2022 ,fmcg
75,Barista - Male/Female | One Galle Face,Delifrance Sri Lanka ,Colombo,Full-Time,27/05/2022 ,fmcg
76,පාරිභෝගික සේවා සහායක - කොළඹ | Customer Service Assistant - Colombo,Keells ,Colombo,Full-Time,26/05/2022 ,fmcg
77,Waiter / Waitress,Crystal Jade Hong Kong Kitchen,Colombo,Full-Time,27/05/2022 ,fmcg
78,Maintenance Man – 35 Nos /  Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,26/05/2022 ,fmcg
79, Trainee Waiter / Waitress,Crystal Jade Hong Kong Kitchen,Colombo,Full-Time,27/05/2022 ,fmcg
80,Bartender,Dreamsea Surf camp,Galle,Full-Time or Part-Time,26/05/2022 ,fmcg
81,Stewards / Senior Stewards / Barman,The Dutchman's Street,Matara,Full-Time,26/05/2022 ,fmcg
82,HR Administrator (Maldives) - Male,Crowdnik,"ForeignJob,Island...",Full-Time,26/05/2022 ,fmcg
83,Pastry and Bakery (Trainee) | Ragama - පේස්ට්රි සහ බේකරි (පුහුණු) | රාගම,Inrich Bakers ( Pvt) Ltd,Gampaha,Full-Time,26/05/2022 ,fmcg
84,Assistant Cook | සහකාර අරක්කැමි,Company Name Withheld 514,Colombo,Full-Time,26/05/2022 ,fmcg
85,Restaurant Hostess,Jagro (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,fmcg
86,Chef ,Workforce People Solutions,"ForeignJob,Island...",Full-Time,26/05/2022 ,fmcg
87,Chef / Cook,Resident Immigration Consultancy (Pvt) Ltd,ForeignJob,Full-Time,26/05/2022 ,fmcg
88,Walk In Interview : Customer Service Assistant / Cashier / Hot Kitchen / Bakery ,Keells ,Colombo,Full-Time,26/05/2022 ,fmcg
89,Pizza Chef,Surfing Wombats,"Galle,Matara",Full-Time,26/05/2022 ,fmcg
90,Front of House ,Cafe Kumbuk,Colombo,Full-Time,25/05/2022 ,fmcg
91,Demi Chef De Partie  (Male),Ella Flower Garden Resort,Badulla,Full-Time,25/05/2022 ,fmcg
92,Crew Member - (Full Time) - Havelock,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
93,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Mount Lavania,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,fmcg
94,Barista ,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,fmcg
95,Crew Member - (Full Time) - Minuwangoda,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 ,fmcg
96,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Delkanda,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,fmcg
97,Account Manager – Distributive Trade Function ,Unilever Sri Lanka,"Colombo,IslandWide",Full-Time,26/05/2022 ,fmcg
98,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Kottawa,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,fmcg
99,පාරිභෝගික සේවා සහායක- (Customer Service Assistant) | Islandwide,LAUGFS Super,IslandWide,Full-Time,17/05/2022 ,fmcg
100,Kitchen Stewards,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,fmcg
101,Restaurant Manager | Ahangama - Galle,Concordia Investments Pvt Ltd,Galle,Full-Time,25/05/2022 ,fmcg
102,Finance Business Partner – Modern Trade,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
103,Waiters,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,fmcg
104,Restaurant Captain,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,fmcg
105,Operational Executives - Female | Athurugiriya,www.myherbals.lk,Colombo,Full-Time,25/05/2022 ,fmcg
106,Commi II  (Male),Ella Flower Garden Resort,Badulla,Full-Time,25/05/2022 ,fmcg
107,Country Finance Manager ,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
108,Senior Brand Projects Executive,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
109,Commi I (Male),Ella Flower Garden Resort,Badulla,Full-Time,25/05/2022 ,fmcg
110,Cooks / Waiters,Redbox,Colombo,Full-Time,25/05/2022 ,fmcg
111,Chinese Sous Chef,Gi-Gi Flavours (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,fmcg
112,Assistant Manager - CRM & Data Analytics,Pizza Hut Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
113,Chef De Paritie / Commi I/II/III / Kitchen Trainees,Redbox,Colombo,Full-Time,25/05/2022 ,fmcg
114,Senior Sous Chef ,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,fmcg
115,Crew Member / Senior Crew Member | Katunayake - BIA,Burger King,Gampaha,Full-Time,25/05/2022 ,fmcg
116,Sales Executive ,Australian Talent Network,"Colombo,Anuradhapur...",Full-Time,25/05/2022 ,fmcg
117,Brand Manager,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
118,Crew Member - (Full Time) - Ragama,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 ,fmcg
119,Pastry Kitchen - Sous Chef - Commis I,Jagro (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,fmcg
120,Sous Chef / Commis I / Commis II,Body Doc Fitness and Wellness Pavilion (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,fmcg
121,Crew Member - (Full Time) - Katugasthota,Domino's Pizza Sri Lanka,Kandy,Full-Time,25/05/2022 ,fmcg
122,Delivery Handling Supervisor - Colombo,Pizza Hut Sri Lanka,Colombo,Full-Time,24/05/2022 ,fmcg
123,Crew Member - (Full Time) - Kolonnawa ,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
124,Crew Member - (Full Time) - Mathugama ,Domino's Pizza Sri Lanka,Kalutara,Full-Time,25/05/2022 ,fmcg
125,Crew Member - (Full Time) - Nittambuwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 ,fmcg
126,Cooks ,SUPERFOOD,Colombo,Full-Time,24/05/2022 ,fmcg
127,Crew Members - Rajagiriya / Mount Lavinia / Colombo 03,Subway Development Pvt Ltd,Colombo,Full-Time,25/05/2022 ,fmcg
128,Crew Member - (Full Time) - Kotahena ,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
129,Information Technology Officer,Pizza Hut Sri Lanka,Colombo,Full-Time,25/05/2022 ,fmcg
130,දෙපාර්තමේන්තු සුපරීක්ෂක (නුපුහුණු) - (කාන්තා / පිරිමි),Keells ,IslandWide,Full-Time,24/05/2022 ,fmcg
131,සුපරීක්ෂක - ගබඩා පාලක  - (පුහුණු/නුපුහුණු) - (කාන්තා /පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,fmcg
132,දෙපාර්තමේන්තු සුපරීක්ෂක - පාරිභෝගික සම්බන්ධතා නිලධාරී - (කාන්තා / පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,fmcg
133,Chief Operations Officer - Cafe Sector,Softlogic Restaurants Pvt Ltd,Colombo,Full-Time,24/05/2022 ,fmcg
134,දෙපාර්තමේන්තු සුපරීක්ෂක - මස් සහ මාළු අංශය - (පුහුණු) - (කාන්තා / පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,fmcg
135,Commi i / Commi ii / Commi iii,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,fmcg
136,දෙපාර්තමේන්තු සුපරීක්ෂක - මස් සහ මාළු අංශය - (පුහුණු) - (කාන්තා / පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,fmcg
137,Walk In interview : සූපවේදී - Senior Chef De Partie ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,fmcg
138,සුපරීක්ෂක - ගබඩා පාලක  - (පුහුණු/නුපුහුණු) - (කාන්තා /පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,fmcg
139,Sales Representative,Dilshee Enterprises,Colombo,Full-Time,24/05/2022 ,fmcg
140,Team Leader  - One Galle Face,be.k Desserts,Colombo,Full-Time,24/05/2022 ,fmcg
141,Store Keeper - Katunayake BIA,Burger King,Gampaha,Full-Time,24/05/2022 ,fmcg
142,Senior Executive - Exports | Moratuwa,Trickle,Colombo,Full-Time,24/05/2022 ,fmcg
143,දෙපාර්තමේන්තු සුපරීක්ෂක (පුහුණු) - (කාන්තා / පිරිමි),Keells ,IslandWide,Full-Time,24/05/2022 ,fmcg
144,කොමිස් II - බේකර් | Commis II - Baker ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,fmcg
145,Head Chef,Cafe Kumbuk,Colombo,Full-Time,24/05/2022 ,fmcg
146,දෙපාර්තමේන්තු සුපරීක්ෂක - පාරිභෝගික සම්බන්ධතා නිලධාරී - (කාන්තා / පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,fmcg
147,Sous Chef ,Cafe Kumbuk,Colombo,Full-Time,24/05/2022 ,fmcg
148,කොමි II - Commis II,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,fmcg
149,Accountant,Serendib Prime Seafood Pvt Ltd,Gampaha,Full-Time,24/05/2022 ,fmcg
150,Chef De Partie,Cafe Kumbuk,Colombo,Full-Time,24/05/2022 ,fmcg
151,Commis I Kitchen,Cafe Kumbuk,Colombo,Full-Time,24/05/2022 ,fmcg
152,McDonald’s- Kuwait Guest Relations Leader (Males & Females) ‍| මැක්ඩොනල්ඩ්ස් - කුවේට් ආගන්තුක සබඳතා නායක (පිරිමි සහ ගැහැණු),FHS Travels & Tours,"ForeignJob,Island...",Full-Time,24/05/2022 ,fmcg
153,General Manager ,G.M.T. Sorabora Village Hotel (Pvt)Ltd,Badulla,Full-Time,24/05/2022 ,fmcg
154,Chef - CDP Level - AUSTRALIA ,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,24/05/2022 ,fmcg
155,Trainee Restaurant Manager,Bakes By Bella,Colombo,Full-Time,23/05/2022 ,fmcg
156,Delivery Rider (Full Time)  - Homagama,Domino's Pizza Sri Lanka,Colombo,Full-Time,17/05/2022 ,fmcg
157,Factory Team Member - Commissary,Pizza Hut Sri Lanka,"Colombo,Gampaha",Full-Time,23/05/2022 ,fmcg
158,Guest Relation Executive (Party Hostess),Burger King,Colombo,Full-Time,23/05/2022 ,fmcg
159,McDonald’s- Kuwait Service Crew (Males & Females) | මැක්ඩොනල්ඩ්ස් - කුවේට් සේවා කාර්ය මණ්ඩලය (පිරිමි සහ ගැහැණු),FHS Travels & Tours,"ForeignJob,Island...",Full-Time,24/05/2022 ,fmcg
160,Management Trainee - Marketing ,Ceylon Green Ayurveda Manufacturing (Pvt) Ltd,Colombo,Full-Time,23/05/2022 ,fmcg
161,"WALK IN INTERVIEW : Crew Member/ Kitchen Helper -  (කොළඹ 05, නාවල, ගල්කිස්ස, කොළඹ 03, තලවතුගොඩ)  | Giga Foods",Giga Foods Pvt Ltd,IslandWide,Full-Time,20/05/2022 ,fmcg
162,"WALK IN INTERVIEW : Crew Member/ Kitchen Helper -  (කොළඹ 05, නාවල, ගල්කිස්ස, කොළඹ 03, තලවතුගොඩ) | Indian Affair",Giga Foods Pvt Ltd,IslandWide,Full-Time,20/05/2022 ,fmcg
163,Vacancies,University of Vocational Technology,Colombo,Permanent,31/05/2022 ,fmcg
164,Sous Chef - Colombo 03 /Colombo 05 /Nawala /Mount Lavinia /Thalawathugoda,Giga Foods Pvt Ltd,Colombo,Full-Time,20/05/2022 ,fmcg
165,Current Vacancies ,Giga Foods Pvt Ltd,Colombo,Full-Time,20/05/2022 ,fmcg
166,Maintenance Technician,Giga Foods Pvt Ltd,Colombo,Full-Time,20/05/2022 ,fmcg
167,Guest Relation Agent,Burger King,Colombo,Full-Time,20/05/2022 ,fmcg
168,Guest Relation Executive ,Burger King,Colombo,Full-Time,20/05/2022 ,fmcg
169,Commis I / Commis II / Commis III / Chef De Partie / Kitchen Helper,Giga Foods Pvt Ltd,Colombo,Full-Time,20/05/2022 ,fmcg
170,Assistant Quality Assurance Manager - Private Label & Imported food & non-food,Softlogic GLOMARK,Colombo,Full-Time,19/05/2022 ,fmcg
171,Junior Brew Master - Thalawathugoda,Trove by Book City,Colombo,Full-Time,19/05/2022 ,fmcg
172,බේකරි නිෂ්පාදන ඇසුරුම්කරු : රාගම,Dimuthu Bake House (Pvt) Ltd,Gampaha,Full-Time,19/05/2022 ,fmcg
173,Project Specialist/ Executive - Uber Eats,UBER,Colombo,Full-Time,19/05/2022 ,fmcg
174,Sales & Restaurant Partnership Expert - Uber Eats,UBER,Colombo,Full-Time,19/05/2022 ,fmcg
175,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Kurunegala,Softlogic GLOMARK,Kurunagala,Full-Time,18/05/2022 ,fmcg
176,Chef - FastFood,Peri-Peri,Kurunagala,Permanent,19/05/2022 ,fmcg
177,Commi I/ Commi II / Commi III / Cashier - (Trainee / Experienced) - CRFC,Softlogic GLOMARK,Colombo,Full-Time,18/05/2022 ,fmcg
178,Head Chef / Kitchen Manager | UK ,The Coconut Tree,"ForeignJob,Island...",Full-Time,18/05/2022 ,fmcg
179,District Manager,Domino's Pizza Sri Lanka,Colombo,Full-Time,18/05/2022 ,fmcg
180,Commi I/ Commi II / Commi III / Cashier - (Trainee / Experienced) - Negombo,Softlogic GLOMARK,Gampaha,Full-Time,18/05/2022 ,fmcg
181,Store /Restaurant Manager,Domino's Pizza Sri Lanka,IslandWide,Full-Time,18/05/2022 ,fmcg
182,Commi I/ Commi II / Commi III / Cashier - (Trainee / Experienced) - Malabe,Softlogic GLOMARK,Colombo,Full-Time,18/05/2022 ,fmcg
183,Barista,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,18/05/2022 ,fmcg
184,Waiter - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,18/05/2022 ,fmcg
