,Title,Employee,Location,type,Expire_date,catogry
0,Backend Developer - Laravel | Work From Home,Creative Handles,"ForeignJob,Working...",Full-Time,26/05/2022 ,foreign-jobs
1,Chef De Partie - (Pastry) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
2,Room Attendant - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
3,Commis – (Hot) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
4,Store Driver - 20 / Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,26/05/2022 ,foreign-jobs
5,Service Crew – 32 Nos / Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,26/05/2022 ,foreign-jobs
6,NURSES (Male/ Female) : Kuwait | හෙද (පිරිමි/ ගැහැණු): කුවේට්,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
7,Housekeeping Supervisor - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
8,Baker - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
9,Delivery Driver – 28 Nos. / Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,26/05/2022 ,foreign-jobs
10,NURSES (Male/ Female) : Kuwait | හෙද (පිරිමි/ ගැහැණු): කුවේට්,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
11,Backend Developer - Laravel | Work From Home,Creative Handles,"ForeignJob,Working...",Full-Time,26/05/2022 ,foreign-jobs
12,Baker - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
13,Housekeeping Supervisor - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
14,Commis – (Hot) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
15,Chef De Partie - (Pastry) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
16,Room Attendant - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,foreign-jobs
17,Store Driver - 20 / Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,26/05/2022 ,foreign-jobs
