,Title,Employee,Location,type,Expire_date,catogry
0,Demonstrator ,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,government
1,Director / Chief Executive Officer - University College of Matara,University of Vocational Technology,Matara,Permanent,31/05/2022 ,government
2,Lecturer (Probationary / Unconfirmed) / Senior Lecturer Grade II/I,University of Colombo,Colombo,Permanent,16/05/2022 ,government
3,"Internship Opportunity (Marketing, Internal Audit, Human Resources)",ICT Agency of Sri Lanka,Colombo,Full-Time,27/05/2022 ,government
4,Director / Chief Executive Officer - University College of Batangala,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,government
5,Senior System Engineer (Cloud Operations & Management),ICT Agency of Sri Lanka,Colombo,Full-Time,30/05/2022 ,government
6,Director / Chief Executive Officer - University College of Kuliyapitiya,University of Vocational Technology,Kurunagala,Permanent,31/05/2022 ,government
7, Nursing Officer (On Visiting Basis),University of Vocational Technology,"Kegalle,Kurunagala,...",Other,31/05/2022 ,government
8,Technical Officer (Laboratory),University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,government
9,Estimator,The Associated Newspapers of Ceylon Limited,Colombo,Full-Time,27/05/2022 ,government
10,Lecturer (Probationary / Unconfirmed) / Senior Lecturer Grade II/I,University of Colombo,Colombo,Permanent,16/05/2022 ,government
11,Senior System Engineer (Cloud Operations & Management),ICT Agency of Sri Lanka,Colombo,Full-Time,30/05/2022 ,government
12,Demonstrator ,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,government
13,Estimator,The Associated Newspapers of Ceylon Limited,Colombo,Full-Time,27/05/2022 ,government
14, Nursing Officer (On Visiting Basis),University of Vocational Technology,"Kegalle,Kurunagala,...",Other,31/05/2022 ,government
15,Director / Chief Executive Officer - University College of Matara,University of Vocational Technology,Matara,Permanent,31/05/2022 ,government
16,Technical Officer (Laboratory),University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,government
17,Director / Chief Executive Officer - University College of Kuliyapitiya,University of Vocational Technology,Kurunagala,Permanent,31/05/2022 ,government
18,Director / Chief Executive Officer - University College of Batangala,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,government
19,"Internship Opportunity (Marketing, Internal Audit, Human Resources)",ICT Agency of Sri Lanka,Colombo,Full-Time,27/05/2022 ,government
20,Finance Manager,State Ministry of Rural Housing and Construction and Building Materials Industries Promotion,Colombo,Contract Basis,19/05/2022 ,government
21,Architect,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
22,Nursing Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
23,English Instructor,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
24,Veterinary Surgeon,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
25,Fund Manager,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
26,Counselling Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
27,Legal Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
28,Translator,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
29,Assistant General Manager (Finance) ,National Livestock Development Board,Colombo,Permanent,24/05/2022 ,government
30,Head of Internship Unit,Sri Lanka Medical Council ,Colombo,Permanent,06/06/2022 ,government
31,Agriculture Officer - Male,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
32,Pre School Teacher,University of Colombo,Colombo,Contract Basis,20/05/2022 ,government
33,Day Care Attendant - Female,University of Colombo,Colombo,Contract Basis,20/05/2022 ,government
34,Senior Software Engineer (Full Stack Java/Javascript),ICT Agency of Sri Lanka,Colombo,Full-Time,24/05/2022 ,government
35,Junior Personal Assistant,Sri Lanka Central Bank,Colombo,Permanent,25/05/2022 ,government
36,Senior Software Engineers / Senior Systems Engineers / Technical Lead,ICT Agency of Sri Lanka,Colombo,Full-Time,24/05/2022 ,government
37,Executive,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
38,Director,Institute of Human Resource Advancement,Colombo,Permanent,30/05/2022 ,government
39,Automobile Engineer - Male,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,government
40,Manager - Technology Diffusion,ICT Agency of Sri Lanka,Colombo,Full-Time,25/05/2022 ,government
