,Title,Employee,Location,type,Expire_date,catogry
0,NURSES (Male/ Female) : Kuwait | හෙද (පිරිමි/ ගැහැණු): කුවේට්,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,healthcare
1,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,healthcare
2,දන්ත ශල්‍ය සහයිකා (පුර්ණ කාලීන) Dental Assistant - Female ,My Dentist Pvt Ltd,Colombo,Full-Time,30/05/2022 ,healthcare
3,Medical Officer : Maradana,FHS Travels & Tours,Colombo,Full-Time,30/05/2022 ,healthcare
4,Medical Nurse ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,healthcare
5,Database Administrator + IIS Server Administrator,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,healthcare
6,Walk In interview : Internship – Marketing / Management / Data Science /IT,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,healthcare
7,Nurse  : Maradana,FHS Travels & Tours,Colombo,Full-Time,30/05/2022 ,healthcare
8,Creative Writer (English),Durdans Hospital,Colombo,Full-Time,30/05/2022 ,healthcare
9,Business Development Executive (Galle / Matara / Anuradhapura / Ratnapura),Durdans Hospital,"Galle,Anuradhapura,...",Full-Time,30/05/2022 ,healthcare
10,Business Development Executive (Galle / Matara / Anuradhapura / Ratnapura),Durdans Hospital,"Galle,Anuradhapura,...",Full-Time,30/05/2022 ,healthcare
11,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,healthcare
12,Walk In interview : Internship – Marketing / Management / Data Science /IT,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,healthcare
13,Creative Writer (English),Durdans Hospital,Colombo,Full-Time,30/05/2022 ,healthcare
14,Nurse  : Maradana,FHS Travels & Tours,Colombo,Full-Time,30/05/2022 ,healthcare
15,NURSES (Male/ Female) : Kuwait | හෙද (පිරිමි/ ගැහැණු): කුවේට්,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,healthcare
16,දන්ත ශල්‍ය සහයිකා (පුර්ණ කාලීන) Dental Assistant - Female ,My Dentist Pvt Ltd,Colombo,Full-Time,30/05/2022 ,healthcare
17,Medical Nurse ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,healthcare
18,Medical Officer : Maradana,FHS Travels & Tours,Colombo,Full-Time,30/05/2022 ,healthcare
19,Database Administrator + IIS Server Administrator,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,healthcare
20,Draughtsman - කෙටුම්පත්කරු,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
21,Junior Phlebotomist,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
22,Assistant Manager - Human Resources,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
23,Welder - පෑස්සුම්කරු,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
24,Helper - සහායකයා,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
25,Customer Relationship Assistant,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
26,Vacancies for School Leavers,Durdans Hospital,Colombo,Full-Time,20/05/2022 ,healthcare
27,Radiographer,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
28,Medical Officer ,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
29,Staff Nurse,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,healthcare
30,Medical Officer,Medispot (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,healthcare
31,Supermarket Manager,Nawaloka Hospitals PLC,Colombo,Full-Time,27/05/2022 ,healthcare
32, Nursing Officer (On Visiting Basis),University of Vocational Technology,"Kegalle,Kurunagala,...",Other,31/05/2022 ,healthcare
33,Walk In interview : Customer Relations Officer,Durdans Hospital,Colombo,Full-Time,27/05/2022 ,healthcare
34,Commi I / Commi II / Commi III / Cashier - (Trainee/Experienced) - Mount Lavania,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,healthcare
35,Medical Officer - Maternity Ward,Nawaloka Hospitals PLC,Colombo,Full-Time,27/05/2022 ,healthcare
36,Walk In interview : Cashier Cum Clerk | Negombo / Matara / Kurunegala,Durdans Hospital,Kurunagala,Full-Time,27/05/2022 ,healthcare
37,Staff Nurses,Hemas Hospitals Pvt Ltd,"Gampaha,Colombo",Full-Time,27/05/2022 ,healthcare
38,Executive - Supply Chain,Nawaloka Hospitals PLC,Colombo,Full-Time,27/05/2022 ,healthcare
39,හෙද නිලධාරී ඇබෑර්තු - Nursing Officer ,Toyota Lanka,"Colombo,Gampaha",Full-Time,27/05/2022 ,healthcare
40,Nurse,Workforce People Solutions,"ForeignJob,Island...",Full-Time,26/05/2022 ,healthcare
41,Nursing Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,healthcare
42,Site Technical Supervisor,Nawaloka Hospitals PLC,Colombo,Full-Time,26/05/2022 ,healthcare
43, ඖෂධවේදීන් -  Pharmacist /  ඖෂධවේදී සහායකයින් -  Pharmacy Assistant | Islandwide,LAUGFS Super,"Colombo,IslandWide",Full-Time,17/05/2022 ,healthcare
44,Secretary to Chairman and Corporate Office,Durdans Hospital,Colombo,Full-Time,26/05/2022 ,healthcare
45,Healthcare Assistant,Workforce People Solutions,"ForeignJob,Island...",Full-Time,26/05/2022 ,healthcare
46,Dental Surgeon,My Dentist Pvt Ltd,Colombo,Full-Time or Part-Time,26/05/2022 ,healthcare
47,Personal Assistant To Managing Director,Nawaloka Hospitals PLC,Colombo,Full-Time,26/05/2022 ,healthcare
48,Intern - IT,Nawaloka Hospitals PLC,Colombo,Full-Time,26/05/2022 ,healthcare
49,Counselling Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,healthcare
50,Janitor ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,healthcare
51,Lobby Manager,Nawaloka Hospitals PLC,Colombo,Full-Time,24/05/2022 ,healthcare
52,වඩු කාර්මික ශිල්පී  - Carpenter,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,healthcare
53,Veterinary Assistant/ Vet Helper - Male | පශු වෛද්‍ය සහායක / වෙට් සහයක - පිරිමි,Save a Paw Shelter,"Colombo,Gampaha",Full-Time,24/05/2022 ,healthcare
54,Wealth Planners - Premier Agency Circle ,AIA Sri Lanka,Colombo,Full-Time,25/05/2022 ,healthcare
55,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Mount Lavania,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,healthcare
56,Resident Nurse (Female) ,National Council for Mental Health,Colombo,Full-Time,25/05/2022 ,healthcare
57,Head of Internship Unit,Sri Lanka Medical Council ,Colombo,Permanent,06/06/2022 ,healthcare
58,Walk In interview : සූපවේදී - Senior Chef De Partie ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,healthcare
