,Title,Employee,Location,type,Expire_date,catogry
0,Commis – (Hot) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
1,Crew Captain / Members,Cafe Chocolattie,Colombo,Full-Time,30/05/2022 ,hospitality
2,Restaurant Waiter ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,hospitality
3,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,hospitality
4,Chef De Partie - (Pastry) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
5,Room Attendant - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
6,Baker - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
7,Crew Member - (Full Time),Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,hospitality
8,Housekeeping Supervisor - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
9,Restaurant Helper,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,hospitality
10,Restaurant Helper,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,hospitality
11,Commis – (Hot) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
12,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,hospitality
13,Crew Member - (Full Time),Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,hospitality
14,Room Attendant - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
15,Chef De Partie - (Pastry) - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
16,Housekeeping Supervisor - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
17,Baker - Boudl Hotel & Resorts,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,30/05/2022 ,hospitality
18,Restaurant Waiter ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,hospitality
19,Crew Captain / Members,Cafe Chocolattie,Colombo,Full-Time,30/05/2022 ,hospitality
20,Crew Member - (Full Time) - Piliyandala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
21,Crew Member - (Full Time) - Pitakotte,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
22,Crew Member - (Full Time) - Kottawa,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
23,Crew Member - (Full Time) - Nawala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
24,Crew Member (Part Time) ,Domino's Pizza Sri Lanka,IslandWide,Part-Time,30/05/2022 ,hospitality
25,Crew Member - (Full Time) - Seeduwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,30/05/2022 ,hospitality
26,Crew Member - (Full Time) - Kiribathgoda,Domino's Pizza Sri Lanka,"Colombo,Gampaha",Full-Time,30/05/2022 ,hospitality
27,කර්මාන්තශාලා සහයක / Store Assistant (බොල්ලෑගල - කැලණිය),Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
28,Crew Member - (Full Time) - Union Place,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
29,Crew Member - (Full Time) - Aluthgama,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
30,Maintenance – Team member,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
31,"WALK IN INTERVIEW : Crew Member/ Kitchen Helper -  (කොළඹ 05, නාවල, ගල්කිස්ස, කොළඹ 03, තලවතුගොඩ) | Full'r",Giga Foods Pvt Ltd,IslandWide,Full-Time,20/05/2022 ,hospitality
32,බේකරී අංශය  - Chef De Partie / Demi Chef De Partie / Commi I / Commi II / Commi III | Islandwide,LAUGFS Super,"Colombo,IslandWide",Urgent,17/05/2022 ,hospitality
33,Trainee Shift Managers | Colombo,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,hospitality
34,Deputy Manager / Manager - Internal Audit  (IT Systems),Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,hospitality
35,Customer Relationship Assistant,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,hospitality
36,Delivery Rider (Full- Time) - Mount Lavinia ( TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,20/05/2022 ,hospitality
37,Delivery Rider (Full- Time) - Delgoda,Pizza Hut Sri Lanka,Colombo,Full-Time,27/05/2022 ,hospitality
38,Delivery Riders - (Full-Time) - Kottawa | Male TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,19/05/2022 ,hospitality
39,Delivery Rider (Full- Time) - Horana,Pizza Hut Sri Lanka,Gampaha,Full-Time,27/05/2022 ,hospitality
40,Steward - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,hospitality
41,Delivery Rider (Full- Time) - Kalmunai,Pizza Hut Sri Lanka,Batticaloa,Full-Time,27/05/2022 ,hospitality
42,Kitchen Helper - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,hospitality
43,Qualified Chefs and Hospitality Professionals,Affinity Migration,Colombo,Full-Time,27/05/2022 ,hospitality
44,Research and Development (R&D) Chef,The Urban Spice Shop (Pvt) Ltd,Colombo,Part-Time,27/05/2022 ,hospitality
45,Commis II / Commis I / Demi Chef - Thai / Chinese / Japanese,Food Studio (Pvt.) Ltd.,Colombo,Full-Time,27/05/2022 ,hospitality
46,Kitchen Stewards / Trainee Chef / Commis III,Food Studio (Pvt.) Ltd.,Colombo,Full-Time,27/05/2022 ,hospitality
47,Order Assembler - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,hospitality
48,Commi I / Commi II / Commi  III - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,hospitality
49,Delivery Rider - Jade Laughs Restaurant,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,hospitality
50,Demi Chef (Pastry & Bakery),Delifrance Sri Lanka ,Colombo,Full-Time,27/05/2022 ,hospitality
51,Delivery Riders / Senior Delivery Riders ,Burger King,"Colombo,Gampaha,Ka...",Full-Time,27/05/2022 ,hospitality
52,Crew Member / Senior Crew Member ,Burger King,"Colombo,Gampaha",Full-Time,27/05/2022 ,hospitality
53, Vacancies For - Service Crew Member/ Waffle Maker/ Tea Maker ,Waffle Mania Colombo,Colombo,Full-Time,27/05/2022 ,hospitality
54,Assistant Manager – Inbound Tours (Male / Female),Star Quest Company (Pvt) Ltd ,Colombo,Full-Time,27/05/2022 ,hospitality
55,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Nawala,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,hospitality
56,Maintenance Technician | නඩත්තු කාර්මික,Raffles Consolidated (Pvt) Ltd,Colombo,Permanent,27/05/2022 ,hospitality
57,සුපවේදී - කැලණිය / මාලබේ | Chef - Kelaniya / Malabe,Raffles Consolidated (Pvt) Ltd,Colombo,Permanent,27/05/2022 ,hospitality
58,කෝකිවරයන් - බියගම / කැලණිය  / වවුනියාව | Cooks - Biyagama / Kelaniya / Vavuniya,Raffles Consolidated (Pvt) Ltd,Colombo,Permanent,27/05/2022 ,hospitality
59,Restaurant Crew Member,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,hospitality
60,Service Crew – 32 Nos / Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,26/05/2022 ,hospitality
61,Senior Waiter / Senior Waitress,Crystal Jade Hong Kong Kitchen,Colombo,Full-Time,27/05/2022 ,hospitality
62, Trainee Waiter / Waitress,Crystal Jade Hong Kong Kitchen,Colombo,Full-Time,27/05/2022 ,hospitality
63,Crew Members / Senior Crew Members | Moratuwa / Town Hall (ODEL),Baskin Robbins,Colombo,Full-Time,27/05/2022 ,hospitality
64,Walk In Interview : Customer Service Assistant / Cashier / Hot Kitchen / Bakery | Galle,Keells ,Galle,Full-Time,26/05/2022 ,hospitality
65,Senior Lecturer/ Lecturer Hospitality Management,Australasian Academy,Colombo,Full-Time,27/05/2022 ,hospitality
66,Delivery Rider (Full Time) – Rathnapura District ,Pizza Hut Sri Lanka,Ratnapura,Full-Time,27/05/2022 ,hospitality
67,Waiter / Waitress,Crystal Jade Hong Kong Kitchen,Colombo,Full-Time,27/05/2022 ,hospitality
68,Delivery Rider (Full- Time) - Athurugiriya,Pizza Hut Sri Lanka,Colombo,Full-Time,26/05/2022 ,hospitality
69,Barista - Male/Female | One Galle Face,Delifrance Sri Lanka ,Colombo,Full-Time,27/05/2022 ,hospitality
70,Stewards / Senior Stewards / Barman,The Dutchman's Street,Matara,Full-Time,26/05/2022 ,hospitality
71,Bartender,Dreamsea Surf camp,Galle,Full-Time or Part-Time,26/05/2022 ,hospitality
72,Restaurant Hostess,Jagro (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,hospitality
73,Walk In Interview : Customer Service Assistant / Cashier / Hot Kitchen / Bakery ,Keells ,Colombo,Full-Time,26/05/2022 ,hospitality
74,Pastry and Bakery (Trainee) | Ragama - පේස්ට්රි සහ බේකරි (පුහුණු) | රාගම,Inrich Bakers ( Pvt) Ltd,Gampaha,Full-Time,26/05/2022 ,hospitality
75,Assistant Cook | සහකාර අරක්කැමි,Company Name Withheld 514,Colombo,Full-Time,26/05/2022 ,hospitality
