,Title,Employee,Location,type,Expire_date,catogry
0,Senior HR Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,27/05/2022 ,hr
1,Assistant Manager - Human Resources,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,hr
2,Human Resource Executive,MyTech Jobs,Colombo,Full-Time,27/05/2022 ,hr
3,Junior Executive - Payroll,Accenture Lanka,Colombo,Full-Time,26/05/2022 ,hr
4,HR Associate ,Ernst & Young,Colombo,Full-Time,26/05/2022 ,hr
5,Internship - Human Resources,Abans PLC,Colombo,Full-Time,30/05/2022 ,hr
6,Human Resource Manager,Axis BPO,Colombo,Full-Time,30/05/2022 ,hr
7,HR Assistant - Female,Vintage Teas Ceylon (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,hr
8,"Internship Opportunity (Marketing, Internal Audit, Human Resources)",ICT Agency of Sri Lanka,Colombo,Full-Time,27/05/2022 ,hr
9,HR recruiter,ABC Hostig Ltd,"WorkingFromHome,I...",Full-Time,23/05/2022 ,hr
10,"Internship Opportunity (Marketing, Internal Audit, Human Resources)",ICT Agency of Sri Lanka,Colombo,Full-Time,27/05/2022 ,hr
11,Human Resource Manager,Axis BPO,Colombo,Full-Time,30/05/2022 ,hr
12,HR Associate ,Ernst & Young,Colombo,Full-Time,26/05/2022 ,hr
13,Internship - Human Resources,Abans PLC,Colombo,Full-Time,30/05/2022 ,hr
14,HR Assistant - Female,Vintage Teas Ceylon (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,hr
15,Assistant Manager - Human Resources,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,hr
16,HR recruiter,ABC Hostig Ltd,"WorkingFromHome,I...",Full-Time,23/05/2022 ,hr
17,Senior HR Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,27/05/2022 ,hr
18,Junior Executive - Payroll,Accenture Lanka,Colombo,Full-Time,26/05/2022 ,hr
19,Human Resource Executive,MyTech Jobs,Colombo,Full-Time,27/05/2022 ,hr
20,Deputy Analyst (Junior Executive) - Talent Acquisition,Accenture Lanka,Colombo,Full-Time,25/05/2022 ,hr
21,Human Resource Professionals,Company Name Withheld 250,Colombo,Full-Time,24/05/2022 ,hr
22,Sales Executives / Assistant Business Promotion Manager / Business Promotion Manager ,Company Name Withheld 527,Colombo,Full-Time,25/05/2022 ,hr
23,"Deputy Analyst (Junior Executive) – Human Resource Operations - Avissawella, Katunayake, Polonnaruwa & Giritale",Accenture Lanka,"Colombo,Gampaha,Po...",Full-Time,26/05/2022 ,hr
24,Associate HR Executive,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,25/05/2022 ,hr
25,Director,Institute of Human Resource Advancement,Colombo,Permanent,30/05/2022 ,hr
26,Executive - Enrolments,VIEC Sri Lanka,Colombo,Full-Time,25/05/2022 ,hr
27,Intern - HR ,Ideal Group,Colombo,Full-Time,25/05/2022 ,hr
28,HR Administrator (Maldives) - Male,Crowdnik,"ForeignJob,Island...",Full-Time,26/05/2022 ,hr
29,HR Executive,PERFECTUS TECHNOLOGY PVT LTD,Colombo,Full-Time,26/05/2022 ,hr
30,HR - Intern,Nawaloka Hospitals PLC,Colombo,Full-Time,24/05/2022 ,hr
31,"Trainee - Finance, HR, Supply Chain & Logistics | Ekala, Ja Ela",Accenture Lanka,"Colombo,Gampaha",Full-Time,25/05/2022 ,hr
32,Junior Human Resources Executive ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,hr
33,Customer Care Executives,Resident Immigration Consultancy (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,hr
34,Legal & HR Officer,Helios Ventures,Colombo,Full-Time,17/05/2022 ,hr
35,Intern HR,Domino's Pizza Sri Lanka,Colombo,Full-Time,24/05/2022 ,hr
36,Communication Coach,HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,24/05/2022 ,hr
