,Title,Employee,Location,type,Expire_date,catogry
0,Senior Business Development Officers / Business Development Officers - Colombo,Nations Trust Bank,Colombo,Full-Time,27/05/2022 ,insurance
1,Sales Associates - Col 04 ,BIMA Lanka Insurance Brokers (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,insurance
2,Manager - Finance ,Company Name Withheld 508,Colombo,Full-Time,26/05/2022 ,insurance
3,Agency Managers/ Agency Leaders & Financial Advisors  - Colombo ,Company Name Withheld 503,Colombo,Full-Time,25/05/2022 ,insurance
4,Sales Representatives,Ceynergy Insurance Brokers,Colombo,Full-Time,25/05/2022 ,insurance
5,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,insurance
6,Agency Manager / Field Manager / Regional Sales Manager / Senior Regional Sales Manager,Company Name Withheld 524,Colombo,Full-Time,26/05/2022 ,insurance
7,Wealth Planners - Premier Agency Circle ,AIA Sri Lanka,Colombo,Full-Time,25/05/2022 ,insurance
8,Business Development Officers - Kandy / Kurunegala,Nations Trust Bank,"Kandy,Kurunagala",Full-Time,30/05/2022 ,insurance
9,Vacancies for Retired or Tobe - Government/ Private Staff Sales & Marketing Executives,AIA Insurance,Colombo,Full-Time,30/05/2022 ,insurance
10,Business Development Officers - Kandy / Kurunegala,Nations Trust Bank,"Kandy,Kurunagala",Full-Time,30/05/2022 ,insurance
11,Manager - Finance ,Company Name Withheld 508,Colombo,Full-Time,26/05/2022 ,insurance
12,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,30/05/2022 ,insurance
13,Agency Manager / Field Manager / Regional Sales Manager / Senior Regional Sales Manager,Company Name Withheld 524,Colombo,Full-Time,26/05/2022 ,insurance
14,Wealth Planners - Premier Agency Circle ,AIA Sri Lanka,Colombo,Full-Time,25/05/2022 ,insurance
15,Senior Business Development Officers / Business Development Officers - Colombo,Nations Trust Bank,Colombo,Full-Time,27/05/2022 ,insurance
16,Sales Representatives,Ceynergy Insurance Brokers,Colombo,Full-Time,25/05/2022 ,insurance
17,Agency Managers/ Agency Leaders & Financial Advisors  - Colombo ,Company Name Withheld 503,Colombo,Full-Time,25/05/2022 ,insurance
18,Sales Associates - Col 04 ,BIMA Lanka Insurance Brokers (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,insurance
19,Vacancies for Retired or Tobe - Government/ Private Staff Sales & Marketing Executives,AIA Insurance,Colombo,Full-Time,30/05/2022 ,insurance
20,Associate Manager - Internal Audit - Darley Road Insurance Premises,LOLC Holdings PLC,Colombo,Full-Time,25/05/2022 ,insurance
21,Trainee Sales Executives - General Insurance - Leasing & Bancassurance ,Company Name Withheld 527,Colombo,Full-Time,24/05/2022 ,insurance
22,Officer - Insurance Operations (Baduraliya / Chunnakkam / Batticaloa / Kalmunai) ,LOLC Holdings PLC,"Ampara,Jaffna,Kalu...",Full-Time,23/05/2022 ,insurance
23,Trainee Executive / Executive - Life Bancassurance ,LOLC Holdings PLC,"Colombo,Kandy,Gall...",Full-Time,23/05/2022 ,insurance
24,Business System Analyst - Life Insurance,LOLC Holdings PLC,Colombo,Full-Time,25/05/2022 ,insurance
25,Assistant Manager - Sales (Insurance),Ideal Group,Colombo,Full-Time,24/05/2022 ,insurance
26,Senior Executive - Sales (Insurance),Ideal Group,Colombo,Full-Time,24/05/2022 ,insurance
27,Executive - Non Motor Claims ,LOLC Holdings PLC,Colombo,Full-Time,22/05/2022 ,insurance
28,Sales Executives / Assistant Business Promotion Manager / Business Promotion Manager ,Company Name Withheld 527,Colombo,Full-Time,25/05/2022 ,insurance
29,Officer - Call Center Operations (General Insurance Head Office) - Male,LOLC Holdings PLC,Colombo,Full-Time,23/05/2022 ,insurance
30,Join AIA as a Wealth Planner - Part-Time,AIA Sri Lanka,IslandWide,Part-Time,25/05/2022 ,insurance
31,Executive / Senior Sales Executive / Assistant Business Promotion Manager / Business Promotion Manager / Sales Manager,Allianz Insurance Lanka Ltd,Colombo,Full-Time,19/05/2022 ,insurance
32,Branch Underwriting and Operations - Jaffna / Vavuniya / Battcaloa,LOLC Holdings PLC,"Jaffna,Vavuniya,Ba...",Full-Time,22/05/2022 ,insurance
33,Wealth Planner,AIA Insurance,Colombo,Full-Time,19/05/2022 ,insurance
34,Manager / Senior Manager - Actuarial (Life Assurance Head Office),LOLC Holdings PLC,Colombo,Full-Time,22/05/2022 ,insurance
35,අලෙවි නිළධාරි - කොළඹ 04,BIMA Lanka Insurance Brokers (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,insurance
36,Officer - Call Center Operations (General Insurance Head Office) - Male,LOLC Holdings PLC,Colombo,Full-Time,22/05/2022 ,insurance
37,Trainee Executive / Executive - Life Bancassurance ,LOLC Holdings PLC,"Colombo,Kandy,Gall...",Full-Time,22/05/2022 ,insurance
38,Officer in Charge / Associate Manager - Sales (Life Insurance),LOLC Holdings PLC,"Kegalle,Kurunagala",Full-Time,22/05/2022 ,insurance
39,Executive - Life Bancassurance,LOLC Holdings PLC,"Colombo,Galle,Anur...",Full-Time,22/05/2022 ,insurance
40,Senior Associate / AM (PMO) - AMS - Assurance ,EY Global Delivery Services,Colombo,Full-Time,17/05/2022 ,insurance
41,Customer Service Executives – Call Centre - Colombo,Company Name Withheld 520,Colombo,Full-Time,18/05/2022 ,insurance
42,Business Promotion Executive / Business Promotion Manager / Sales Executive,Coop Insurance,Matara,Full-Time,18/05/2022 ,insurance
43,Associate Manager - Internal Audit - Insurance Sector,LOLC Holdings PLC,Colombo,Full-Time,18/05/2022 ,insurance
44,Associate - AMS - Assurance,EY Global Delivery Services,Colombo,Full-Time,17/05/2022 ,insurance
45,Financial Advisors/ Agency Leaders - Katunayake to Wattala Only,Company Name Withheld 528,"Colombo,Gampaha",Full-Time,19/05/2022 ,insurance
46,Manager - Assurance,EY Global Delivery Services,Colombo,Full-Time,17/05/2022 ,insurance
47,Associate - Assurance,EY Global Delivery Services,Colombo,Full-Time,17/05/2022 ,insurance
48,Wealth Planner - Colombo,SPARX TEAM,Colombo,Full-Time,17/05/2022 ,insurance
49,Product Manager,Limark Technologies (Pvt) Ltd,Colombo,Full-Time,17/05/2022 ,insurance
