,Title,Employee,Location,type,Expire_date,catogry
0,Sales Coordinator | Welisara,Jilbo Furniture Home,Gampaha,Full-Time,17/05/2022 ,interior-design
1,Business Development Executive (Female) ,Millerholz (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,interior-design
2,CAD Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 ,interior-design
3,Sales Executive ,Adams Décor (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,interior-design
4,Interior Designer / Draftsman,WIDAC Commercial Interiors (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,interior-design
5,Showroom Sales Executive | Female,Prudential International (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,interior-design
6,Kitchen Designer,Hybrid Kitchen (Pvt) Ltd,"WorkingFromHome,C...",Full-Time,27/05/2022 ,interior-design
7,Interior Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 ,interior-design
8,Interior Designer,ODEL PLC,Colombo,Full-Time,25/05/2022 ,interior-design
9,Trainee : Sales Executive ,Millerholz (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,interior-design
10,Sales Coordinator | Welisara,Jilbo Furniture Home,Gampaha,Full-Time,17/05/2022 ,interior-design
11,CAD Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 ,interior-design
12,Interior Designer,ODEL PLC,Colombo,Full-Time,25/05/2022 ,interior-design
13,Sales Executive ,Adams Décor (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,interior-design
14,Interior Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 ,interior-design
15,Kitchen Designer,Hybrid Kitchen (Pvt) Ltd,"WorkingFromHome,C...",Full-Time,27/05/2022 ,interior-design
16,Trainee : Sales Executive ,Millerholz (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,interior-design
17,Business Development Executive (Female) ,Millerholz (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,interior-design
18,Interior Designer / Draftsman,WIDAC Commercial Interiors (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,interior-design
19,Showroom Sales Executive | Female,Prudential International (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,interior-design
