,Title,Employee,Location,type,Expire_date,catogry
0,Associate DevOps Engineer,Datavail,Colombo,Full-Time,30/05/2022 ,it
1,Senior Software Engineer - .NET,XigeniX Pvt Ltd,Colombo,Full-Time,30/05/2022 ,it
2,Software Engineer / Senior Software Engineer - Java,Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
3,Content Strategist,Leap Media,Colombo,Full-Time,30/05/2022 ,it
4,Senior Full - Stack Web Developer (Remote),Incy Labs,"WorkingFromHome,I...",Contract Basis,30/05/2022 ,it
5,Senior Full Stack Engineer (WORK FROM HOME),TreeDots Enterprise (Private Limited),"WorkingFromHome,I...",Full-Time,30/05/2022 ,it
6,"Senior Software Engineer (PHP, Angular) ",Pro Placement Consulting,Colombo,Full-Time,30/05/2022 ,it
7,"Architect - Enterprise, Java, Opensource stack, Microservices",Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
8,Full Stack Java Developer,Recruitment Consultancy,Colombo,Full-Time,30/05/2022 ,it
9,BackEnd - Engineer / Senior Engineer ,Pro Placement Consulting,Colombo,Full-Time,30/05/2022 ,it
10,"Architect - Enterprise, Java, Opensource stack, Microservices",Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
11,Software Engineer / Senior Software Engineer - Java,Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
12,BackEnd - Engineer / Senior Engineer ,Pro Placement Consulting,Colombo,Full-Time,30/05/2022 ,it
13,Senior Full Stack Engineer (WORK FROM HOME),TreeDots Enterprise (Private Limited),"WorkingFromHome,I...",Full-Time,30/05/2022 ,it
14,"Senior Software Engineer (PHP, Angular) ",Pro Placement Consulting,Colombo,Full-Time,30/05/2022 ,it
15,Full Stack Java Developer,Recruitment Consultancy,Colombo,Full-Time,30/05/2022 ,it
16,Associate DevOps Engineer,Datavail,Colombo,Full-Time,30/05/2022 ,it
17,Senior Software Engineer - .NET,XigeniX Pvt Ltd,Colombo,Full-Time,30/05/2022 ,it
18,Senior Full - Stack Web Developer (Remote),Incy Labs,"WorkingFromHome,I...",Contract Basis,30/05/2022 ,it
19,Content Strategist,Leap Media,Colombo,Full-Time,30/05/2022 ,it
20,Lead ML Engineer (TL/STL),Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
21,Associate QA Lead,Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
22,Senior ML Engineer (SSE/SE),Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
23,Software Engineer - React,Hatchyard (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,it
24,Automation Specialist,Direct Lines Pvt.Ltd,Colombo,Full-Time,30/05/2022 ,it
25,Full Stack Developer,Kasper Global Pvt. Ltd.,Colombo,Full-Time,30/05/2022 ,it
