,Title,Employee,Location,type,Expire_date,catogry
0,Legal Executive Assistant,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,legal
1,Assistant Legal Officer,HDFC Bank of Sri Lanka,"Jaffna,Trincomalee,...",Full-Time,24/05/2022 ,legal
2,Senior Associate/Associate - Commercial Focus,CHAMBERS COLOMBO,Colombo,Full-Time,19/05/2022 ,legal
3,Legal & HR Officer,Helios Ventures,Colombo,Full-Time,17/05/2022 ,legal
4,Community Service Manager - Full Time / Part Time,Council for Public Policy,Colombo,Full-Time or Part-Time,19/05/2022 ,legal
5,Legal Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,legal
6,Coordinator / Secretary - Iconic Trust (Pvt) Ltd,LOLC Holdings PLC,Colombo,Full-Time,17/05/2022 ,legal
7,IT Lecturer Cum Academic Coordinator ,Pioneer Institute of Business & Technology,Colombo,Full-Time,18/05/2022 ,legal
8,Executive - Typist,Abans Finance PLC,Colombo,Full-Time,19/05/2022 ,legal
9,Business Development Executive ,The Jobhouse,Colombo,Full-Time,19/05/2022 ,legal
10,Community Service Manager - Full Time / Part Time,Council for Public Policy,Colombo,Full-Time or Part-Time,19/05/2022 ,legal
11,Coordinator / Secretary - Iconic Trust (Pvt) Ltd,LOLC Holdings PLC,Colombo,Full-Time,17/05/2022 ,legal
12,Assistant Legal Officer,HDFC Bank of Sri Lanka,"Jaffna,Trincomalee,...",Full-Time,24/05/2022 ,legal
13,Business Development Executive ,The Jobhouse,Colombo,Full-Time,19/05/2022 ,legal
14,Legal Executive Assistant,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,legal
15,IT Lecturer Cum Academic Coordinator ,Pioneer Institute of Business & Technology,Colombo,Full-Time,18/05/2022 ,legal
16,Legal Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,legal
17,Legal & HR Officer,Helios Ventures,Colombo,Full-Time,17/05/2022 ,legal
18,Senior Associate/Associate - Commercial Focus,CHAMBERS COLOMBO,Colombo,Full-Time,19/05/2022 ,legal
19,Executive - Typist,Abans Finance PLC,Colombo,Full-Time,19/05/2022 ,legal
