,Title,Employee,Location,type,Expire_date,catogry
0,Trainee Marketing Officer,Wayamba Printers,Kurunagala,Full-Time,30/05/2022 ,media
1,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,media
2,Electronic Technician,Emerging Media,Colombo,Full-Time,30/05/2022 ,media
3,Creative Graphic Designer,Dream Enlight,Colombo,Full-Time,30/05/2022 ,media
4,Link Building Specialist ,Alfamedio LTD,Colombo,Full-Time or Part-Time,30/05/2022 ,media
5,Content Strategist,Leap Media,Colombo,Full-Time,30/05/2022 ,media
6,Sales Executive – Corporate ,Switz Lanka Pvt Ltd,Colombo,Full-Time,30/05/2022 ,media
7,Graphic Designer ,Ceynergy Insurance Brokers,Colombo,Full-Time,30/05/2022 ,media
8,Full Stack Web Developer,DOMEDIA,Colombo,Full-Time,30/05/2022 ,media
9,Senior Designer ,Leap Media,Colombo,Full-Time,30/05/2022 ,media
10,Senior Designer ,Leap Media,Colombo,Full-Time,30/05/2022 ,media
11,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,media
12,Creative Graphic Designer,Dream Enlight,Colombo,Full-Time,30/05/2022 ,media
13,Full Stack Web Developer,DOMEDIA,Colombo,Full-Time,30/05/2022 ,media
14,Content Strategist,Leap Media,Colombo,Full-Time,30/05/2022 ,media
15,Trainee Marketing Officer,Wayamba Printers,Kurunagala,Full-Time,30/05/2022 ,media
16,Link Building Specialist ,Alfamedio LTD,Colombo,Full-Time or Part-Time,30/05/2022 ,media
17,Electronic Technician,Emerging Media,Colombo,Full-Time,30/05/2022 ,media
18,Graphic Designer ,Ceynergy Insurance Brokers,Colombo,Full-Time,30/05/2022 ,media
19,Sales Executive – Corporate ,Switz Lanka Pvt Ltd,Colombo,Full-Time,30/05/2022 ,media
20,Photoshop Image Editor / Retoucher (WORK FROM HOME),Looklet,"Colombo,WorkingFro...",Full-Time,30/05/2022 ,media
21,Web Designer Developer - Female,MyWEB information systems,Gampaha,Full-Time,30/05/2022 ,media
22,Junior Marketing Specialist,Pyxeda (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,media
23,Graphic Designer,Venture Forth (Private) Limited,Colombo,Full-Time,30/05/2022 ,media
24,Creative Writer (English),Durdans Hospital,Colombo,Full-Time,30/05/2022 ,media
25,Junior Social Media Executive,Magic Labs,Colombo,Full-Time,30/05/2022 ,media
26,Account Planner - Immediate Hire,Visual Studios,Colombo,Full-Time,30/05/2022 ,media
27,Head of Digital/Lead Creative Strategist,Magic Labs,Colombo,Full-Time,30/05/2022 ,media
28,Senior Manager / Manager  / Strategic Planning Analyst,ICT Agency of Sri Lanka,Colombo,Full-Time,30/05/2022 ,media
29,Digital Marketing Specialist,Socobee (PVT) LTD,WorkingFromHome,Full-Time,30/05/2022 ,media
30,Graphic Designer,Visual Studios,Colombo,Full-Time,30/05/2022 ,media
31,Digital Marketing Strategist ,Visual Studios,"WorkingFromHome,I...",Part-Time,30/05/2022 ,media
32,Creative Director - Immediate Hire,Visual Studios,Colombo,Full-Time,30/05/2022 ,media
33,Client Services Associate ,Visual Studios,Colombo,Full-Time,30/05/2022 ,media
34,Manager - Client Acquisition,Visual Studios,Colombo,Full-Time,30/05/2022 ,media
35,Junior Creative Director (Visual Strategist) ,Visual Studios,Colombo,Full-Time,30/05/2022 ,media
36,Videographer / Video Editor - Immediate Hire,Visual Studios,Colombo,Full-Time,30/05/2022 ,media
37,TikTok Marketing Executive/ Content Creater  (Hybrid) ,XpressJobs ,"Colombo,WorkingFro...",Part-Time,30/05/2022 ,media
