,Title,Employee,Location,type,Expire_date,catogry
0,Delivery Rider (Full Time) ,Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,other
1,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
2,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,other
3,ජලනල කාර්මික | Plumber - කෙරවලපිටිය,Keells ,Colombo,Full-Time,30/05/2022 ,other
4,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
5,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
6,ශීතාගාර කාර්මික | Refrigeration Technicians (Cold Rooms) - කෙරවලපිටිය	,Keells ,Colombo,Full-Time,30/05/2022 ,other
7,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
8,Electrician - විදුලි කාර්මික ,Levlin Holdings (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,other
9,Creative Graphic Designer,Dream Enlight,Colombo,Full-Time,30/05/2022 ,other
10,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,other
11,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
12,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
13,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
14,Creative Graphic Designer,Dream Enlight,Colombo,Full-Time,30/05/2022 ,other
15,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,other
16,Delivery Rider (Full Time) ,Domino's Pizza Sri Lanka,IslandWide,Full-Time,30/05/2022 ,other
17,Electrician - විදුලි කාර්මික ,Levlin Holdings (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,other
18,ජලනල කාර්මික | Plumber - කෙරවලපිටිය,Keells ,Colombo,Full-Time,30/05/2022 ,other
19,ශීතාගාර කාර්මික | Refrigeration Technicians (Cold Rooms) - කෙරවලපිටිය	,Keells ,Colombo,Full-Time,30/05/2022 ,other
