,Title,Employee,Location,type,Expire_date,catogry
0,හෙද නිලධාරී ඇබෑර්තු - Nursing Officer ,Toyota Lanka,"Colombo,Gampaha",Full-Time,27/05/2022 ,pharmaceutical
1,Nursery Manager | තවාන් කළමනාකරු,Ramya Horticulture (Pvt) Ltd,Gampaha,Full-Time,25/05/2022 ,pharmaceutical
2,Dental Surgeon,My Dentist Pvt Ltd,Colombo,Full-Time or Part-Time,26/05/2022 ,pharmaceutical
3,Chemist/Chemical Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,19/05/2022 ,pharmaceutical
4,Medical Documentation Executive (Night Shift) ,MedSource Healthcare LLC,Colombo,Full-Time,24/05/2022 ,pharmaceutical
5,Documentation Executive (Night Shift) ,MedSource Healthcare LLC,Colombo,Full-Time,24/05/2022 ,pharmaceutical
6,Executive - Maintenance & Safety | Male,Emerchemie NB (Ceylon) Limited,Colombo,Full-Time,24/05/2022 ,pharmaceutical
7, ඖෂධවේදීන් -  Pharmacist /  ඖෂධවේදී සහායකයින් -  Pharmacy Assistant | Islandwide,LAUGFS Super,"Colombo,IslandWide",Full-Time,17/05/2022 ,pharmaceutical
8,Wealth Planner,AIA Insurance,Colombo,Full-Time,19/05/2022 ,pharmaceutical
9,Medical Nurse ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,pharmaceutical
10,Chemist/Chemical Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,19/05/2022 ,pharmaceutical
11,Medical Documentation Executive (Night Shift) ,MedSource Healthcare LLC,Colombo,Full-Time,24/05/2022 ,pharmaceutical
12,Executive - Maintenance & Safety | Male,Emerchemie NB (Ceylon) Limited,Colombo,Full-Time,24/05/2022 ,pharmaceutical
13,Medical Nurse ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,pharmaceutical
14,හෙද නිලධාරී ඇබෑර්තු - Nursing Officer ,Toyota Lanka,"Colombo,Gampaha",Full-Time,27/05/2022 ,pharmaceutical
15,Dental Surgeon,My Dentist Pvt Ltd,Colombo,Full-Time or Part-Time,26/05/2022 ,pharmaceutical
16,Nursery Manager | තවාන් කළමනාකරු,Ramya Horticulture (Pvt) Ltd,Gampaha,Full-Time,25/05/2022 ,pharmaceutical
17, ඖෂධවේදීන් -  Pharmacist /  ඖෂධවේදී සහායකයින් -  Pharmacy Assistant | Islandwide,LAUGFS Super,"Colombo,IslandWide",Full-Time,17/05/2022 ,pharmaceutical
18,Documentation Executive (Night Shift) ,MedSource Healthcare LLC,Colombo,Full-Time,24/05/2022 ,pharmaceutical
19,Wealth Planner,AIA Insurance,Colombo,Full-Time,19/05/2022 ,pharmaceutical
