,Title,Employee,Location,type,Expire_date,catogry
0,AWS SME - Operations Specialist SME,Direct Lines Pvt.Ltd,Colombo,Full-Time,30/05/2022 ,production-operations
1,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,production-operations
2,Junior Operations Assistant  | Mahiyanganaya,Citizens Development Business Finance PLC (CDB),Badulla,Full-Time,30/05/2022 ,production-operations
3,Junior Operations Assistant  | Rajagiriya,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,production-operations
4,Technician (Service & Maintenance) ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,production-operations
5,Production Supervisor,Switz Lanka Pvt Ltd,Puttalam,Full-Time,30/05/2022 ,production-operations
6,Junior Operations Assistant  | Dehiwala,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,production-operations
7,Procurement and Logistics Manager | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,production-operations
8,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,production-operations
9,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,production-operations
10,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,production-operations
11,Junior Operations Assistant  | Rajagiriya,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,production-operations
12,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,production-operations
13,Junior Operations Assistant  | Dehiwala,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,production-operations
14,Production Supervisor,Switz Lanka Pvt Ltd,Puttalam,Full-Time,30/05/2022 ,production-operations
15,Procurement and Logistics Manager | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,production-operations
16,Junior Operations Assistant  | Mahiyanganaya,Citizens Development Business Finance PLC (CDB),Badulla,Full-Time,30/05/2022 ,production-operations
17,AWS SME - Operations Specialist SME,Direct Lines Pvt.Ltd,Colombo,Full-Time,30/05/2022 ,production-operations
18,Technician (Service & Maintenance) ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,production-operations
19,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,production-operations
20,HVAC කාර්මික | HVAC Technician - කෙරවලපිටිය,Keells ,Colombo,Full-Time,30/05/2022 ,production-operations
21,Trainees - Operations / Finance / Gold Loans,Asia Asset Finance PLC,IslandWide,Full-Time,30/05/2022 ,production-operations
22,Trainee / Assistant (Fixed Deposits Operations),Asia Asset Finance PLC,Colombo,Full-Time,30/05/2022 ,production-operations
23,ජලනල කාර්මික | Plumber - කෙරවලපිටිය,Keells ,Colombo,Full-Time,30/05/2022 ,production-operations
24,ශීතාගාර කාර්මික | Refrigeration Technicians (Cold Rooms) - කෙරවලපිටිය	,Keells ,Colombo,Full-Time,30/05/2022 ,production-operations
25,Operations Manager (Digital) - Immediate Hire,Visual Studios,Colombo,Full-Time,30/05/2022 ,production-operations
26,Gold Loans Pawning Officers - Executive/Assistants,Asia Asset Finance PLC,"Colombo,Galle,Jaff...",Full-Time,30/05/2022 ,production-operations
27,කර්මාන්තශාලා සහයක / Store Assistant (බොල්ලෑගල - කැලණිය),Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,production-operations
28,Associates - Contact Center Operations,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,production-operations
