,Title,Employee,Location,type,Expire_date,catogry
0,Business Analyst - ERP ,BLUE LOTUS 360°,Colombo,Full-Time,30/05/2022 ,project-management
1,Management Trainee Programme ,Keells ,Colombo,Full-Time,30/05/2022 ,project-management
2,Product Owner	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
3,Senior Manager - Facilities Management,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,project-management
4,Product Owner - VoiceIQ,KandianPro Pvt Ltd,Colombo,Full-Time,27/05/2022 ,project-management
5,Kitchen Designer,Hybrid Kitchen (Pvt) Ltd,"WorkingFromHome,C...",Full-Time,27/05/2022 ,project-management
6,Projects Coordinator - Intern,Magic Labs,Colombo,Full-Time,26/05/2022 ,project-management
7,IT Vacancies,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,project-management
8,Senior Business Analyst	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
9,Business Analyst	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
10,Kitchen Designer,Hybrid Kitchen (Pvt) Ltd,"WorkingFromHome,C...",Full-Time,27/05/2022 ,project-management
11,IT Vacancies,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,project-management
12,Business Analyst - ERP ,BLUE LOTUS 360°,Colombo,Full-Time,30/05/2022 ,project-management
13,Product Owner	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
14,Senior Business Analyst	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
15,Management Trainee Programme ,Keells ,Colombo,Full-Time,30/05/2022 ,project-management
16,Projects Coordinator - Intern,Magic Labs,Colombo,Full-Time,26/05/2022 ,project-management
17,Product Owner - VoiceIQ,KandianPro Pvt Ltd,Colombo,Full-Time,27/05/2022 ,project-management
18,Senior Manager - Facilities Management,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,project-management
19,Business Analyst	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
20,Business Analyst,MyTech Jobs,Colombo,Full-Time,27/05/2022 ,project-management
21,Assistant Manager - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
22,Consulting -Digital & Emerging Technologies – Technical Project Manager ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
23,Senior - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
24,Project Associate,Freedom Business Services (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,project-management
25,Coordinator - Academic Programmes,BA Training Group,Colombo,Full-Time,27/05/2022 ,project-management
26,Senior Programmers .Net Core,myPOS Software Solutions (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,project-management
27,Project Manager,MyTech Jobs,Colombo,Full-Time,27/05/2022 ,project-management
28,Executive - Academic Programs Management | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,project-management
29,Consulting Administrative Support Assistant,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,project-management
30,Analyst – Business Transformation | Ekala - Ja Ela,Accenture Lanka,"Colombo,Gampaha",Full-Time,26/05/2022 ,project-management
31,Senior Procurement Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,27/05/2022 ,project-management
32,"Tech Lead (AWS, PHP, Laravel, REACT) ",BA Training Group,Colombo,Full-Time,27/05/2022 ,project-management
33,Technical Project Manager ,EY Global Delivery Services,Colombo,Full-Time,26/05/2022 ,project-management
34,Backend Developer - Laravel | Work From Home,Creative Handles,"ForeignJob,Working...",Full-Time,26/05/2022 ,project-management
35,Tech Lead / Tech Project Manager,M.SaaS Lanka (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,project-management
36,Senior Business Analyst ,ICT Agency of Sri Lanka,Colombo,Part-Time,26/05/2022 ,project-management
37,Finance & Accounting Executive – 1 Year Contract (Ekala - Ja Ela) ,Accenture Lanka,"Colombo,Gampaha",Contract Basis,26/05/2022 ,project-management
38,Senior HR Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,27/05/2022 ,project-management
39,Industry Analyst ,Nations Trust Bank,Colombo,Full-Time,26/05/2022 ,project-management
40,Business Analyst,DMS Software Technologies (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,project-management
41,Project Manager,Ataraxia Capital Partners,Colombo,Full-Time,26/05/2022 ,project-management
42,Project Manager,DMS Software Technologies (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,project-management
43,Site Supervisor - Road Development,Winway Engineering (Private) Limited,"Colombo,Gampaha,Ka...",Full-Time,24/05/2022 ,project-management
44,Senior Brand Projects Executive,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 ,project-management
