,Title,Employee,Location,type,Expire_date,catogry
0,Administrative Coordinator,AMITHI POWER CONSULTANTS (PVT) LTD,Colombo,Full-Time,30/05/2022 ,quality-assurance
1,Associate QA Lead,Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,quality-assurance
2,Quality Assurance Engineer,Vetstoria,Colombo,Full-Time,27/05/2022 ,quality-assurance
3,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
4,Associate QA Engineers,ExactPro Systems (Private) Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
5,Senior QA Tester,Creative Handles,"WorkingFromHome,I...",Full-Time,30/05/2022 ,quality-assurance
6,IT Vacancies,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
7,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
8,QA Automation Engineer,Pyxeda (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,quality-assurance
9,Senior / Assistant Manager - Assurance,EY Global Delivery Services,Colombo,Full-Time,30/05/2022 ,quality-assurance
10,Quality Assurance Engineer,Vetstoria,Colombo,Full-Time,27/05/2022 ,quality-assurance
11,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
12,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
13,Administrative Coordinator,AMITHI POWER CONSULTANTS (PVT) LTD,Colombo,Full-Time,30/05/2022 ,quality-assurance
14,Associate QA Engineers,ExactPro Systems (Private) Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
15,Senior QA Tester,Creative Handles,"WorkingFromHome,I...",Full-Time,30/05/2022 ,quality-assurance
16,IT Vacancies,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,quality-assurance
17,Senior / Assistant Manager - Assurance,EY Global Delivery Services,Colombo,Full-Time,30/05/2022 ,quality-assurance
18,Associate QA Lead,Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,quality-assurance
