,Title,Employee,Location,type,Expire_date,catogry
0,TikTok Marketing Executive/ Content Creater  (Hybrid) ,XpressJobs ,"Colombo,WorkingFro...",Part-Time,30/05/2022 ,remote
1,Senior Full Stack Engineer (WORK FROM HOME),TreeDots Enterprise (Private Limited),"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
2,Executive Secretary,Zentech Global PVT LTD,"WorkingFromHome,I...",Part-Time,30/05/2022 ,remote
3,Senior QA Tester,Creative Handles,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
4,Digital Marketing Strategist ,Visual Studios,"WorkingFromHome,I...",Part-Time,30/05/2022 ,remote
5,Java Full Stack Developer ,Third Eye LK (Pvt.) Limited,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
6,SEO Specialist ,Socobee (PVT) LTD,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
7,Photoshop Image Editor / Retoucher (WORK FROM HOME),Looklet,"Colombo,WorkingFro...",Full-Time,30/05/2022 ,remote
8,Software Engineer (React Native),Crowdnik,"Colombo,WorkingFro...",Full-Time,30/05/2022 ,remote
9,Full Stack Developer (Web),TechMe,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
10,TikTok Marketing Executive/ Content Creater  (Hybrid) ,XpressJobs ,"Colombo,WorkingFro...",Part-Time,30/05/2022 ,remote
11,Executive Secretary,Zentech Global PVT LTD,"WorkingFromHome,I...",Part-Time,30/05/2022 ,remote
12,Full Stack Developer (Web),TechMe,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
13,Senior Full Stack Engineer (WORK FROM HOME),TreeDots Enterprise (Private Limited),"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
14,SEO Specialist ,Socobee (PVT) LTD,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
15,Digital Marketing Strategist ,Visual Studios,"WorkingFromHome,I...",Part-Time,30/05/2022 ,remote
16,Java Full Stack Developer ,Third Eye LK (Pvt.) Limited,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
17,Senior QA Tester,Creative Handles,"WorkingFromHome,I...",Full-Time,30/05/2022 ,remote
18,Photoshop Image Editor / Retoucher (WORK FROM HOME),Looklet,"Colombo,WorkingFro...",Full-Time,30/05/2022 ,remote
19,Software Engineer (React Native),Crowdnik,"Colombo,WorkingFro...",Full-Time,30/05/2022 ,remote
20,Core PHP Developer (Work From Home) ,Soft Curve Technologies,"WorkingFromHome,I...",Full-Time,26/05/2022 ,remote
21,HR recruiter,ABC Hostig Ltd,"WorkingFromHome,I...",Full-Time,23/05/2022 ,remote
22,Front-End Developer (React.js) | Work From Home,Creative Handles,"WorkingFromHome,I...",Full-Time,26/05/2022 ,remote
23,Kitchen Designer,Hybrid Kitchen (Pvt) Ltd,"WorkingFromHome,C...",Full-Time,27/05/2022 ,remote
24,Software Engineer | Work From Home - Jaffna,UnicomSD,"Jaffna,WorkingFrom...",Full-Time,27/05/2022 ,remote
25,Application Specialist,Crowdnik,"Colombo,WorkingFro...",Full-Time,26/05/2022 ,remote
26,Backend Developer - Laravel | Work From Home,Creative Handles,"ForeignJob,Working...",Full-Time,26/05/2022 ,remote
27,Accountant,InGame Entertainment PVT LTD,"WorkingFromHome,I...",Full-Time,27/05/2022 ,remote
28,Ariba Technical Consultant (Work From Home) ,Soft Curve Technologies,"WorkingFromHome,I...",Full-Time,26/05/2022 ,remote
29,Software Engineer - Front End,Kognitiv Corporation,"Colombo,WorkingFro...",Full-Time,27/05/2022 ,remote
30,Senior DevOps Engineer - Azure,Kognitiv Corporation,"Colombo,WorkingFro...",Full-Time,25/05/2022 ,remote
