,Title,Employee,Location,type,Expire_date,catogry
0,Coordinator,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
1,Internship - Human Resources,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
2,Management Trainee,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
3,Audit Executive,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
4,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
5,A/C Technician - A/C කාර්මික ශිල්පියා,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
6,Front Desk Coordinator ,Kay Jay Electronics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,retail
7,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,retail
8,Middleware and Database Administrator,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
9,Management Trainee - Supermarkets,Softlogic GLOMARK,Colombo,Full-Time,30/05/2022 ,retail
10,A/C Technician - A/C කාර්මික ශිල්පියා,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
11,Front Desk Coordinator ,Kay Jay Electronics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,retail
12,Management Trainee,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
13,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,retail
14,Management Trainee - Supermarkets,Softlogic GLOMARK,Colombo,Full-Time,30/05/2022 ,retail
15,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
16,Audit Executive,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
17,Internship - Human Resources,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
18,Coordinator,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
19,Middleware and Database Administrator,Abans PLC,Colombo,Full-Time,30/05/2022 ,retail
20,Store Supervisor,ODEL PLC,Colombo,Full-Time,30/05/2022 ,retail
