,Title,Employee,Location,type,Expire_date,catogry
0,Assistant Manager – Business Development,Charmante,Colombo,Full-Time,30/05/2022 ,sales
1,Executive - Sales & Markets,KPMG,Colombo,Full-Time,30/05/2022 ,sales
2,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,sales
3,Business Development Executives | LeadGen Executives,Yara Technologies (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,sales
4,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,sales
5,Senior Designer ,Leap Media,Colombo,Full-Time,30/05/2022 ,sales
6,Business Development Officer,Rohana Samilta (Pvt) Ltd,Kalutara,Full-Time,30/05/2022 ,sales
7,Trainee Marketing Officer,Wayamba Printers,Kurunagala,Full-Time,30/05/2022 ,sales
8,වෙළඳ විධායකයන් - Kiddies & Toys International,LIMRA Holdings Limited,Colombo,Full-Time,30/05/2022 ,sales
9,Sales Executive | Kurunegala,Nawinne Printers (Pvt) Ltd,Kurunagala,Full-Time,30/05/2022 ,sales
10,Business Development Officer,Rohana Samilta (Pvt) Ltd,Kalutara,Full-Time,30/05/2022 ,sales
11,Trainee Marketing Officer,Wayamba Printers,Kurunagala,Full-Time,30/05/2022 ,sales
12,Senior Designer ,Leap Media,Colombo,Full-Time,30/05/2022 ,sales
13,Executive - Sales & Markets,KPMG,Colombo,Full-Time,30/05/2022 ,sales
14,Business Development Executives | LeadGen Executives,Yara Technologies (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,sales
15,Sales Executive | Kurunegala,Nawinne Printers (Pvt) Ltd,Kurunagala,Full-Time,30/05/2022 ,sales
16,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,sales
17,Assistant Manager – Business Development,Charmante,Colombo,Full-Time,30/05/2022 ,sales
18,වෙළඳ විධායකයන් - Kiddies & Toys International,LIMRA Holdings Limited,Colombo,Full-Time,30/05/2022 ,sales
19,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,sales
20,Pre - Sales Engineer,Unique Infotech Solutions,Colombo,Full-Time,30/05/2022 ,sales
21,Junior Operations Assistant  | Dehiwala,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,sales
22,Sales and Marketing Executive,CareerCo Jobs,Colombo,Full-Time,30/05/2022 ,sales
23,Sales Executive - Colombo,Ideal Group,Colombo,Full-Time,30/05/2022 ,sales
24,Creative Graphic Designer,Dream Enlight,Colombo,Full-Time,30/05/2022 ,sales
25,Junior Operations Assistant  | Rajagiriya,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,sales
26,Management Trainee - Supermarkets,Softlogic GLOMARK,Colombo,Full-Time,30/05/2022 ,sales
27,Junior Operations Assistant  | Narammala,Citizens Development Business Finance PLC (CDB),Kurunagala,Full-Time,30/05/2022 ,sales
28,Junior Operations Assistant  | Mahiyanganaya,Citizens Development Business Finance PLC (CDB),Badulla,Full-Time,30/05/2022 ,sales
29,Sales Executive – Corporate ,Switz Lanka Pvt Ltd,Colombo,Full-Time,30/05/2022 ,sales
30,Trainee Sales Officers - Central Province,Dialog Finance PLC,"Kandy,Matale,Nuwar...",Full-Time,30/05/2022 ,sales
31,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,sales
32,Trainee Sales Officers - North Western Province ,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,30/05/2022 ,sales
33,Marketing Executive / Interns - Marketing - Colombo,Pioneer Institute of Business & Technology,Colombo,Full-Time,30/05/2022 ,sales
34,Link Building Specialist ,Alfamedio LTD,Colombo,Full-Time or Part-Time,30/05/2022 ,sales
35,Trainee Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,sales
36,Sales Officers - North Western Province ,Dialog Finance PLC,"Kurunagala,Puttalam",Full-Time,30/05/2022 ,sales
37,Tele Sales Executive - Female,Elitbuzz Technologies Limited,Colombo,Full-Time,30/05/2022 ,sales
38,Vacancies for Retired or Tobe - Government/ Private Staff Sales & Marketing Executives,AIA Insurance,Colombo,Full-Time,30/05/2022 ,sales
39,Sales Officers - Southern Province,Dialog Finance PLC,"Galle,Hambantota,M...",Full-Time,30/05/2022 ,sales
40,Junior Social Media Executive,Magic Labs,Colombo,Full-Time,30/05/2022 ,sales
41,Hindi - Tele Sales Executive ,Global BPO Technologies (Pvt) Ltd,Colombo,Full-Time or Part-Time,30/05/2022 ,sales
42,Digital Marketing Specialist,Socobee (PVT) LTD,WorkingFromHome,Full-Time,30/05/2022 ,sales
43,Associates - Contact Center Operations,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,sales
44,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,sales
45,Walk In interview : Internship – Marketing / Management / Data Science /IT,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,sales
46,Junior Marketing Specialist,Pyxeda (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,sales
47,Business Development Executive (Galle / Matara / Anuradhapura / Ratnapura),Durdans Hospital,"Galle,Anuradhapura,...",Full-Time,30/05/2022 ,sales
48,Tele Marekting Executive,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,sales
49,Head of Digital/Lead Creative Strategist,Magic Labs,Colombo,Full-Time,30/05/2022 ,sales
50,Business Development Officers - Kandy / Kurunegala,Nations Trust Bank,"Kandy,Kurunagala",Full-Time,30/05/2022 ,sales
51,Trainee / Assistant (Fixed Deposits Operations),Asia Asset Finance PLC,Colombo,Full-Time,30/05/2022 ,sales
52,Sales Executive,Visual Studios,Colombo,Full-Time,30/05/2022 ,sales
53,Branch Manager / Branch In Charge,Asia Asset Finance PLC,"Colombo,Kandy,Ampa...",Full-Time,30/05/2022 ,sales
54,Manager - Client Acquisition,Visual Studios,Colombo,Full-Time,30/05/2022 ,sales
55,Business Development - Intern,Greasemonkey Automobile Private Limited,Colombo,Full-Time,30/05/2022 ,sales
56,Management Trainee Programme ,Keells ,Colombo,Full-Time,30/05/2022 ,sales
57,Branch In Charge (Executive/Senior Executive) - Naula/ Katugastota/ Badulla/ Batticaloa/ Vavuniya/ Mannar/ Jaffna/ Bogawantalawa/ Agarapathana/ Pottuvil/ Bogawantalawa/ Agarapathana/ Wattegama/ Hawaeliya/ Badulla,Asia Asset Finance PLC,"Kandy,Ampara,Badul...",Full-Time,30/05/2022 ,sales
58,Branch Manager ,Asia Asset Finance PLC,IslandWide,Full-Time,30/05/2022 ,sales
59,Operations Manager (Digital) - Immediate Hire,Visual Studios,Colombo,Full-Time,30/05/2022 ,sales
60,Business Development and Sales ,The Jobhouse,Colombo,Full-Time,30/05/2022 ,sales
61,Intern – Marketing,Unilever Sri Lanka,Colombo,Full-Time,30/05/2022 ,sales
62,Digital Marketing Strategist ,Visual Studios,"WorkingFromHome,I...",Part-Time,30/05/2022 ,sales
63,Internship Training Opportunities - Sales/Marketing,Dialog Finance PLC,Colombo,Full-Time,30/05/2022 ,sales
64,Graphic Visual Designer / Junior Designer,Magic Labs,Colombo,Full-Time,30/05/2022 ,sales
65,Contact Centre Manager,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,sales
66,TikTok Marketing Executive/ Content Creater  (Hybrid) ,XpressJobs ,"Colombo,WorkingFro...",Part-Time,30/05/2022 ,sales
67,Sales Officer - Colombo ,Dialog Finance PLC,Colombo,Full-Time,30/05/2022 ,sales
68,Sales Executive - Fixed Deposits | AMW Capital Leasing and Finance PLC | Union Place,AMW Capital Leasing & Finance PLC,Colombo,Full-Time,20/05/2022 ,sales
69,Trainee Sales Officers - Western Province,Dialog Finance PLC,"Colombo,Gampaha,Ka...",Full-Time,30/05/2022 ,sales
