,Title,Employee,Location,type,Expire_date,catogry
0,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,school-leavers
1,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,school-leavers
2,Junior Operations Assistant  | Rajagiriya,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,school-leavers
3,Junior Operations Assistant  | Dehiwala,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,school-leavers
4,Restaurant Waiter ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,school-leavers
5,Junior Operations Assistant  | Mahiyanganaya,Citizens Development Business Finance PLC (CDB),Badulla,Full-Time,30/05/2022 ,school-leavers
6,Junior Operations Assistant  | Narammala,Citizens Development Business Finance PLC (CDB),Kurunagala,Full-Time,30/05/2022 ,school-leavers
7,Restaurant Helper,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,school-leavers
8,"Subject Coaching - Math, Science, English",Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,school-leavers
9,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,school-leavers
10,Restaurant Helper,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,school-leavers
11,"Subject Coaching - Math, Science, English",Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,school-leavers
12,Restaurant Waiter ,ACS Medical Services,Colombo,Full-Time,30/05/2022 ,school-leavers
13,Junior Operations Assistant  | Rajagiriya,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,school-leavers
14,Junior Operations Assistant  | Thalawatugoda ,Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,30/05/2022 ,school-leavers
15,Sales Coordinators - Female,WWS Roofing Products (pvt) Ltd,Gampaha,Full-Time,30/05/2022 ,school-leavers
16,Junior Operations Assistant  | Mahiyanganaya,Citizens Development Business Finance PLC (CDB),Badulla,Full-Time,30/05/2022 ,school-leavers
17,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,school-leavers
