,Title,Employee,Location,type,Expire_date,catogry
0,"Subject Coaching - Math, Science, English",Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,science
1,Research and Development (R&D) Chef,The Urban Spice Shop (Pvt) Ltd,Colombo,Part-Time,27/05/2022 ,science
2,Creative Writer (English),Durdans Hospital,Colombo,Full-Time,30/05/2022 ,science
3,"Junior Executive (Kiln, Crusher, Electrolysis processes) - Katunayake | Male",Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,science
4,Senior ML Engineer (SSE/SE),Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,science
5,Junior Phlebotomist,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,science
6,Lecturer (Probationary / Unconfirmed) / Senior Lecturer Grade II/I,University of Colombo,Colombo,Permanent,16/05/2022 ,science
7,හෙද නිලධාරී ඇබෑර්තු - Nursing Officer ,Toyota Lanka,"Colombo,Gampaha",Full-Time,27/05/2022 ,science
8, Teachers |  Advanced Level (Engineering/ Science) ,"Loyola College, Daluwakotuwa",Gampaha,Full-Time,30/05/2022 ,science
9,Lead ML Engineer (TL/STL),Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,science
10,Lecturer (Probationary / Unconfirmed) / Senior Lecturer Grade II/I,University of Colombo,Colombo,Permanent,16/05/2022 ,science
11,හෙද නිලධාරී ඇබෑර්තු - Nursing Officer ,Toyota Lanka,"Colombo,Gampaha",Full-Time,27/05/2022 ,science
12,Lead ML Engineer (TL/STL),Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,science
13, Teachers |  Advanced Level (Engineering/ Science) ,"Loyola College, Daluwakotuwa",Gampaha,Full-Time,30/05/2022 ,science
14,"Junior Executive (Kiln, Crusher, Electrolysis processes) - Katunayake | Male",Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,science
15,Junior Phlebotomist,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,science
16,Research and Development (R&D) Chef,The Urban Spice Shop (Pvt) Ltd,Colombo,Part-Time,27/05/2022 ,science
17,Senior ML Engineer (SSE/SE),Zone24x7 (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,science
18,Creative Writer (English),Durdans Hospital,Colombo,Full-Time,30/05/2022 ,science
19,"Subject Coaching - Math, Science, English",Modern Learning Studio,Colombo,Full-Time,30/05/2022 ,science
20,Assistant Manager - Quality Assurance | Ja Ela,Ideal Group,Colombo,Full-Time,26/05/2022 ,science
21,Manager - Business Analytics,Unilever Sri Lanka,Colombo,Full-Time,26/05/2022 ,science
22,Executive - Sustainability,Tropicoir Lanka (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,science
23,Industry Analyst ,Nations Trust Bank,Colombo,Full-Time,26/05/2022 ,science
24,Agriculture Officer - Male,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,science
25,Consultant / Lead (Microsoft Dynamics) ,Creative Software,Colombo,Full-Time,26/05/2022 ,science
26,Finance & Accounting Executive – 1 Year Contract (Ekala - Ja Ela) ,Accenture Lanka,"Colombo,Gampaha",Contract Basis,26/05/2022 ,science
27,Community Service Manager - Full Time / Part Time,Council for Public Policy,Colombo,Full-Time or Part-Time,19/05/2022 ,science
28,Salesforce Consultant / Lead ,Creative Software,Colombo,Full-Time,26/05/2022 ,science
29,Manager Quality Assurance and Product Development | Wariyapola,Tropicoir Lanka (Pvt) Ltd,"Colombo,Kurunagala",Full-Time,26/05/2022 ,science
30,QA Manager - Katunayake,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,science
31,Unit Manager - Group Corporate Planning and Strategy,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,science
32,Executive Machine Operator - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,science
33,Operation Manager/Operation Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,science
34,Head of Internship Unit,Sri Lanka Medical Council ,Colombo,Permanent,06/06/2022 ,science
35,Assistant Quality Assurance Manager - Private Label & Imported food & non-food,Softlogic GLOMARK,Colombo,Full-Time,19/05/2022 ,science
36,Shift Manager/Engineer,Unilever Sri Lanka,Colombo,Full-Time,26/05/2022 ,science
37,Nursery Manager | තවාන් කළමනාකරු,Ramya Horticulture (Pvt) Ltd,Gampaha,Full-Time,25/05/2022 ,science
38,Finance Executive - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,science
39,BPO Executive/BPO Analyst,HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,24/05/2022 ,science
40,Chemist/Chemical Engineer - Katunayake | Male,Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,19/05/2022 ,science
41,Manager - Industry Development ,ICT Agency of Sri Lanka,Colombo,Full-Time,25/05/2022 ,science
42,Executive - Research & Development (Customer Relationship Management),LOLC Holdings PLC,Colombo,Full-Time,18/05/2022 ,science
43,Executive - Research & Development - Nawala Central Contact Centre,LOLC Holdings PLC,Colombo,Full-Time,18/05/2022 ,science
44,Senior Analytics Translator,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,science
45,Trainee Phlebotomist,Nawaloka Hospitals PLC,Colombo,Full-Time,18/05/2022 ,science
46,Customer Relationship Officers,YOGO Lanka (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,science
47,Business Process Manager | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,25/05/2022 ,science
48,"Director Quality Assurance - R&D, Optimization and AI",IFS Sri Lanka,Colombo,Full-Time,25/05/2022 ,science
49,Research Writers |  Business Management / Marketing / Finance / Accountancy,Thesisdomain,Colombo,Full-Time or Part-Time,17/05/2022 ,science
