,Title,Employee,Location,type,Expire_date,catogry
0,Counselling Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
1,Translator,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
2,Legal Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
3,Internal Security Officer (Female / Male) - අභ්‍යන්තර ආරක්ෂක නිළධාරී (කාන්තා/පිරිමි),Vogue Jewellers (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,security
4,Veterinary Surgeon,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
5,Nursing Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
6,English Instructor,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
7,Disciplinary Officer,Asia Asset Finance PLC,"Jaffna,Kilinochchi,...",Full-Time,27/05/2022 ,security
8,Fund Manager,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
9,Architect,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
10,Disciplinary Officer,Asia Asset Finance PLC,"Jaffna,Kilinochchi,...",Full-Time,27/05/2022 ,security
11,Internal Security Officer (Female / Male) - අභ්‍යන්තර ආරක්ෂක නිළධාරී (කාන්තා/පිරිමි),Vogue Jewellers (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,security
12,Veterinary Surgeon,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
13,Legal Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
14,Counselling Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
15,Fund Manager,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
16,Nursing Officer,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
17,Architect,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
18,English Instructor,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
19,Translator,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,security
