,Title,Employee,Location,type,Expire_date,catogry
0,Vacancies for Retired or Tobe - Government/ Private Staff Sales & Marketing Executives,AIA Insurance,Colombo,Full-Time,30/05/2022 ,senior-management
1,IT Vacancies,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
2,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
3,Senior Manager / Manager  / Strategic Planning Analyst,ICT Agency of Sri Lanka,Colombo,Full-Time,30/05/2022 ,senior-management
4,Deputy Manager - Internal Audit,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,senior-management
5,Senior Tech Lead / Tech Lead – .NET,Rootcode (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,senior-management
6,Branch In Charge (Executive/Senior Executive) - Naula/ Katugastota/ Badulla/ Batticaloa/ Vavuniya/ Mannar/ Jaffna/ Bogawantalawa/ Agarapathana/ Pottuvil/ Bogawantalawa/ Agarapathana/ Wattegama/ Hawaeliya/ Badulla,Asia Asset Finance PLC,"Kandy,Ampara,Badul...",Full-Time,30/05/2022 ,senior-management
7,Senior Manager - Facilities Management,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,senior-management
8,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
9,Technology Lead - Java,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
10,Branch In Charge (Executive/Senior Executive) - Naula/ Katugastota/ Badulla/ Batticaloa/ Vavuniya/ Mannar/ Jaffna/ Bogawantalawa/ Agarapathana/ Pottuvil/ Bogawantalawa/ Agarapathana/ Wattegama/ Hawaeliya/ Badulla,Asia Asset Finance PLC,"Kandy,Ampara,Badul...",Full-Time,30/05/2022 ,senior-management
11,Vacancies for Retired or Tobe - Government/ Private Staff Sales & Marketing Executives,AIA Insurance,Colombo,Full-Time,30/05/2022 ,senior-management
12,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
13,Senior Tech Lead / Tech Lead – .NET,Rootcode (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,senior-management
14,Deputy Manager - Internal Audit,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,senior-management
15,Technology Lead - Java,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
16,IT Vacancies,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
17,Quality Assurance Lead / Senior QA Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,30/05/2022 ,senior-management
18,Senior Manager / Manager  / Strategic Planning Analyst,ICT Agency of Sri Lanka,Colombo,Full-Time,30/05/2022 ,senior-management
19,Senior Manager - Facilities Management,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,senior-management
20, Lead/Senior Software Engineer (.NET) - Support,Insighture,Colombo,Full-Time,27/05/2022 ,senior-management
21,Java Tech Lead,Vetstoria,Colombo,Full-Time,27/05/2022 ,senior-management
22,Consulting  Automation Testing Senior,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
23,Head of Delivery,Dialog Axiata PLC,Colombo,Full-Time,20/06/2022 ,senior-management
24,Associate Technical Lead (Xamarin),Creative Software,Colombo,Full-Time,27/05/2022 ,senior-management
25,Tech Lead/ Associate Tech Lead - ReactJS,Noetic Marketing Technologies Pvt Ltd,Colombo,Full-Time,27/05/2022 ,senior-management
26,Lead/Senior Software Engineer (.NET) - Delivery,Insighture,Colombo,Full-Time,27/05/2022 ,senior-management
27,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,senior-management
28,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,senior-management
29,Senior - Consulting Data Analytics Testing,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
30,Senior Assistant - Regulatory Compliance & Monitoring,Nations Trust Bank,Colombo,Full-Time,27/05/2022 ,senior-management
31,Technical Lead / Associate Technical Lead - PHP,MyTech Jobs,Colombo,Full-Time,27/05/2022 ,senior-management
32,Manager (Solution Architect),EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
33,Senior - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
34,Assistant Manager - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
35,Chief Information Officer,Commercial Bank of Ceylon PLC,Colombo,Full-Time,27/05/2022 ,senior-management
36,Lead Associate / Executive (Accounting and Finance) ,The Jobhouse,Colombo,Full-Time,27/05/2022 ,senior-management
37,Consulting Digital & Emerging Technologies – Java Senior ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
38,Consulting Administrative Support Assistant,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
39,Consulting Digital & Emerging Technologies – .Net Senior ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,senior-management
40,Director / Chief Executive Officer - University College of Kuliyapitiya,University of Vocational Technology,Kurunagala,Permanent,31/05/2022 ,senior-management
41,Associate Technical Lead (Java/Full Stack),Creative Software,Colombo,Full-Time,26/05/2022 ,senior-management
42,Director / Chief Executive Officer - University College of Matara,University of Vocational Technology,Matara,Permanent,31/05/2022 ,senior-management
43,Assistant General Manager (Finance) ,National Livestock Development Board,Colombo,Permanent,24/05/2022 ,senior-management
44,Deputy Analyst – F&A (Order to Cash),Accenture Lanka,Colombo,Full-Time,26/05/2022 ,senior-management
45,Technical Leads,Digiratina Technology Solutions (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,senior-management
46,Technical Lead (Full Stack - Java/Angular) ,Creative Software,Colombo,Full-Time,26/05/2022 ,senior-management
47,Director / Chief Executive Officer - University College of Batangala,University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,senior-management
48,Collections Manager/ Head Manager/ Head Recoveries,A V Business Solutions Private Limited,Colombo,Full-Time,27/05/2022 ,senior-management
49,SAP Basis (Senior Software Engineer / Technical Lead),HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,26/05/2022 ,senior-management
50,Solution Architects – Senior Manager,EY Global Delivery Services,Colombo,Full-Time,26/05/2022 ,senior-management
51,Tech Lead – Full Stack,ONEPAY,Colombo,Full-Time,25/05/2022 ,senior-management
52,Senior Software Engineer (Java),M-DAQ,Colombo,Full-Time,26/05/2022 ,senior-management
53,Deputy Chief Executive Officer,Construction Guarantee Fund Employment,Colombo,Full-Time,26/05/2022 ,senior-management
54,"Lead / Senior Software Engineer - C#, .Net, Data Structures, Algorithm Development",IFS Sri Lanka,Colombo,Full-Time,26/05/2022 ,senior-management
55,Head of Internship Unit,Sri Lanka Medical Council ,Colombo,Permanent,06/06/2022 ,senior-management
56,Manager - IT Governance,Nations Trust Bank,Colombo,Full-Time,26/05/2022 ,senior-management
57,Director,Institute of Human Resource Advancement,Colombo,Permanent,30/05/2022 ,senior-management
58,Tech Lead / Tech Project Manager,M.SaaS Lanka (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,senior-management
59,Art Director,HSBC Bank,Colombo,Full-Time,26/05/2022 ,senior-management
60,Deputy Relationship Manager - Branch Credit,Nations Trust Bank,Colombo,Full-Time,25/05/2022 ,senior-management
