,Title,Employee,Location,type,Expire_date,catogry
0,SEO Specialist ,Socobee (PVT) LTD,"WorkingFromHome,I...",Full-Time,30/05/2022 ,startup
1,Digital Marketing Specialist,Socobee (PVT) LTD,WorkingFromHome,Full-Time,30/05/2022 ,startup
2,Senior Full Stack Engineer (WORK FROM HOME),TreeDots Enterprise (Private Limited),"WorkingFromHome,I...",Full-Time,30/05/2022 ,startup
3,Business Development and Sales ,The Jobhouse,Colombo,Full-Time,30/05/2022 ,startup
4,Senior Manager / Manager  / Strategic Planning Analyst,ICT Agency of Sri Lanka,Colombo,Full-Time,30/05/2022 ,startup
5,Senior Fullstack Engineer MERN,Kainovation Technologies,Colombo,Full-Time,27/05/2022 ,startup
6,Graphic Visual Designer / Junior Designer,Magic Labs,Colombo,Full-Time,30/05/2022 ,startup
7,Customer Relations Associate,Infyniti,Colombo,Full-Time,30/05/2022 ,startup
8,Senior QA Tester,Creative Handles,"WorkingFromHome,I...",Full-Time,30/05/2022 ,startup
9,Business Analyst - ERP ,BLUE LOTUS 360°,Colombo,Full-Time,30/05/2022 ,startup
10,Business Development and Sales ,The Jobhouse,Colombo,Full-Time,30/05/2022 ,startup
11,Digital Marketing Specialist,Socobee (PVT) LTD,WorkingFromHome,Full-Time,30/05/2022 ,startup
12,Senior Full Stack Engineer (WORK FROM HOME),TreeDots Enterprise (Private Limited),"WorkingFromHome,I...",Full-Time,30/05/2022 ,startup
13,Senior Manager / Manager  / Strategic Planning Analyst,ICT Agency of Sri Lanka,Colombo,Full-Time,30/05/2022 ,startup
14,Graphic Visual Designer / Junior Designer,Magic Labs,Colombo,Full-Time,30/05/2022 ,startup
15,SEO Specialist ,Socobee (PVT) LTD,"WorkingFromHome,I...",Full-Time,30/05/2022 ,startup
16,Senior QA Tester,Creative Handles,"WorkingFromHome,I...",Full-Time,30/05/2022 ,startup
17,Senior Fullstack Engineer MERN,Kainovation Technologies,Colombo,Full-Time,27/05/2022 ,startup
18,Customer Relations Associate,Infyniti,Colombo,Full-Time,30/05/2022 ,startup
19,Business Analyst - ERP ,BLUE LOTUS 360°,Colombo,Full-Time,30/05/2022 ,startup
20,Machine Learning / Artificial Intelligence Engineer,Yulusa,"WorkingFromHome,I...",Full-Time,17/05/2022 ,startup
21,Backend Developer - Laravel | Work From Home,Creative Handles,"ForeignJob,Working...",Full-Time,26/05/2022 ,startup
22,Android Developer,DX Business Group,"WorkingFromHome,I...",Full-Time,19/05/2022 ,startup
23,Senior Platform Engineer (Work from Home),TreeDots Enterprise (Private Limited),"WorkingFromHome,I...",Full-Time,24/05/2022 ,startup
24,Senior DevOps Engineer,Kainovation Technologies,Colombo,Full-Time,27/05/2022 ,startup
25,DevOps Engineer (Work From Home) ,AcademX Sri Lanka (PVT) Ltd.,"WorkingFromHome,I...",Full-Time,24/05/2022 ,startup
26,Senior Manager - Startup Ecosystem Development,ICT Agency of Sri Lanka,Colombo,Full-Time,18/05/2022 ,startup
27,Software Developer,SmilBee,"WorkingFromHome,I...",Full-Time,24/05/2022 ,startup
28,Front-End Developer (React.js) | Work From Home,Creative Handles,"WorkingFromHome,I...",Full-Time,26/05/2022 ,startup
29,Senior Software Engineer (Java),M-DAQ,Colombo,Full-Time,26/05/2022 ,startup
30,Marketing Executive,Spirit Kitchen,Colombo,Full-Time,25/05/2022 ,startup
31,Software Engineeers,Avenir IT (Pvt) Ltd,Kandy,Full-Time,16/05/2022 ,startup
32,Sales & Growth Marketing – UnPaid/Volunteer - Work From Home,Skilled Up Life,"WorkingFromHome,I...",Part-Time,31/05/2022 ,startup
33,HR (CloudInfoSystems LLC) - UnPaid/Volunteer - Work From Home,Skilled Up Life,"WorkingFromHome,I...",Part-Time,31/05/2022 ,startup
34,Business Development Representative - UnPaid/Volunteer - Work From Home,Skilled Up Life,"WorkingFromHome,I...",Part-Time,31/05/2022 ,startup
35,Software Tester - UnPaid/Volunteer - Work From Home,Skilled Up Life,"WorkingFromHome,I...",Part-Time,31/05/2022 ,startup
36,Full Stack Engineer (In-house Development),LearnWare (Pvt) Ltd,"Colombo,WorkingFro...",Full-Time,17/05/2022 ,startup
37,PHP Software Developer - UnPaid / Volunteer - Work From Home,Skilled Up Life,"WorkingFromHome,I...",Part-Time,31/05/2022 ,startup
38,Software Engineer .NET ,Davton Limited,Colombo,Permanent,25/05/2022 ,startup
39,Backend PHP Engineer,Ofload,"WorkingFromHome,I...",Full-Time,17/05/2022 ,startup
