,Title,Employee,Location,type,Expire_date,catogry
0,Procurement and Logistics Manager | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
1, Data Entry Operator ,John Keells Logistics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
2,Store Supervisor,ODEL PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
3,Walk In interview : Internship – Marketing / Management / Data Science /IT,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
4,Purchasing Executive (Imports) - Male | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
5,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
6,Store Manager - Panadura,ODEL PLC,Kalutara,Full-Time,30/05/2022 ,supply-chain-procurement
7,Buying Assistant,ISM Solutions,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
8,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
9,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
10,Walk In interview : Internship – Marketing / Management / Data Science /IT,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
11,Procurement and Logistics Manager | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
12,Senior Executives / Executives - Sales & Marketing | Colombo,Abans PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
13, Data Entry Operator ,John Keells Logistics (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
14,Purchasing Executive (Imports) - Male | Wellawatta,Abans PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
15,Production Executive or Supervisor / නිෂ්පාදන විධායක හෝ අධීක්ෂණ නිලධාරිනී  - Female,Celestine Candle Company,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
16,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
17,Store Manager - Panadura,ODEL PLC,Kalutara,Full-Time,30/05/2022 ,supply-chain-procurement
18,Store Supervisor,ODEL PLC,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
19,Buying Assistant,ISM Solutions,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
20,Procurement In charge - Sunbird Bioenergy Sierra Leon,LOLC Holdings PLC,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
21,Junior Executive - Procurement ,Accenture Lanka,Colombo,Full-Time,20/05/2022 ,supply-chain-procurement
22,Management Trainee Programme ,Keells ,Colombo,Full-Time,30/05/2022 ,supply-chain-procurement
23,Local Purchasing Executive - Male,Abans PLC,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
24,Store Assistant - ගබඩා සහයක,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
25,Stores Assistant - Rathmalana/Yakkala,Ideal Group,"Colombo,Gampaha",Full-Time,27/05/2022 ,supply-chain-procurement
26,Executive - Supply Chain,Nawaloka Hospitals PLC,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
27,Data Entry Operator / Clerk,LAUGFS Super,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
28,Accountant,Abans PLC,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
29,Supermarket Manager,Nawaloka Hospitals PLC,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
30,Account Manager – Distributive Trade Function ,Unilever Sri Lanka,"Colombo,IslandWide",Full-Time,26/05/2022 ,supply-chain-procurement
31,Store Manager - Kandy / Kurunegala,ODEL PLC,"Kandy,Kurunagala",Full-Time,25/05/2022 ,supply-chain-procurement
32,Restaurant Hostess,Jagro (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,supply-chain-procurement
33,Senior Procurement Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,27/05/2022 ,supply-chain-procurement
34,Analyst - F&A (Oder to Cash),Accenture Lanka,Colombo,Full-Time,26/05/2022 ,supply-chain-procurement
35,ගබඩා සහයක / සහයිකා -| Warehouse Assistant (ACCOMMODATION PROVIDED),John Keells Logistics (Pvt) Ltd,IslandWide,Full-Time,26/05/2022 ,supply-chain-procurement
36,Deputy Analyst – F&A (Order to Cash),Accenture Lanka,Colombo,Full-Time,26/05/2022 ,supply-chain-procurement
37,පළපුරුදු අයිල් මාස්ටර් ඔපරේටර්  - අවිස්සාවේල්ල | Experienced Isle Master Operator - Avissawella,John Keells Logistics (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,supply-chain-procurement
38,ERP Executive,Ideal Group,Colombo,Full-Time,27/05/2022 ,supply-chain-procurement
39,Business Analyst Cum IT Solutions Architect,Abans PLC,Colombo,Full-Time,25/05/2022 ,supply-chain-procurement
40,Operation Supervisor - Rajagiriya,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,25/05/2022 ,supply-chain-procurement
41,Procurement Manager – Logistics Operations & 3P Manufacturing,Unilever Sri Lanka,Colombo,Full-Time,26/05/2022 ,supply-chain-procurement
42,ගබඩා භාරකරු / ගබඩා සහායකයා - කළුතර / සීදූව | Store Keeper / Store Helper - Kalutara / Seeduwa ,Abans PLC,"Gampaha,Kalutara",Full-Time,25/05/2022 ,supply-chain-procurement
43,Shift Manager/Engineer,Unilever Sri Lanka,Colombo,Full-Time,26/05/2022 ,supply-chain-procurement
44,Storekeeper | Nugegoda,Abans PLC,Colombo,Full-Time,25/05/2022 ,supply-chain-procurement
45,ඉදිකිරීම් යන්ත්‍රෝපකරණ පුහුණු NVQ 3 සහ 4 පාඨමාලා,Maga Neguma Road Construction Equipment Company,IslandWide,Other,25/05/2022 ,supply-chain-procurement
46,Network Planning Executive - Projects,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 ,supply-chain-procurement
47,Sales Executive : Freight Forwarding,Kintetsu World Express Lanka (Pvt)Ltd,Colombo,Full-Time,25/05/2022 ,supply-chain-procurement
48,Manager - Business Analytics,Unilever Sri Lanka,Colombo,Full-Time,26/05/2022 ,supply-chain-procurement
49,Sales Executives / Assistant Business Promotion Manager / Business Promotion Manager ,Company Name Withheld 527,Colombo,Full-Time,25/05/2022 ,supply-chain-procurement
50,සුපරීක්ෂක - ගබඩා පාලක  - (පුහුණු/නුපුහුණු) - (කාන්තා /පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
51,සුපරීක්ෂක - ගබඩා පාලක  - (පුහුණු/නුපුහුණු) - (කාන්තා /පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
52,දෙපාර්තමේන්තු සුපරීක්ෂක - මස් සහ මාළු අංශය - (පුහුණු) - (කාන්තා / පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
53,Store Keeper - Katunayake BIA,Burger King,Gampaha,Full-Time,24/05/2022 ,supply-chain-procurement
54,Deputy Analyst (Junior Executive) – Procurement ,Accenture Lanka,Gampaha,Full-Time,25/05/2022 ,supply-chain-procurement
55,Delivery Handling Supervisor - Colombo,Pizza Hut Sri Lanka,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
56,Recruitment Officer FTC - Renewable,John Keells Logistics (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
57,ගබඩා සහයක | Warehouse Assistant - Avissawella,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,24/05/2022 ,supply-chain-procurement
58,Retail Store Manager,Company Name Withheld 519,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
59,දෙපාර්තමේන්තු සුපරීක්ෂක - මස් සහ මාළු අංශය - (පුහුණු) - (කාන්තා / පිරිමි),Keells ,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
60,Senior Analyst (Team Lead) – Procurement Merchandiser  | Ja Ela - Ekala,Accenture Lanka,Gampaha,Full-Time,19/05/2022 ,supply-chain-procurement
61,Current Vacancies ,Giga Foods Pvt Ltd,Colombo,Full-Time,20/05/2022 ,supply-chain-procurement
62,Operation Supervisor : Transport ,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,23/05/2022 ,supply-chain-procurement
63,"Trainee - Finance, HR, Supply Chain & Logistics | Ekala, Ja Ela",Accenture Lanka,"Colombo,Gampaha",Full-Time,25/05/2022 ,supply-chain-procurement
64,ගබඩා සහයක / සහයිකා - ‍එඩේරමුල්ල | Warehouse Assistant Male / Female - Ederamulla,John Keells Logistics (Pvt) Ltd,Gampaha,Full-Time,23/05/2022 ,supply-chain-procurement
65,ලොරි සහකාර - එන්ඩරමුල්ල  / අවිස්සාවේල්ල | Lorry Assistant - Enderamulla/Avissawella,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,24/05/2022 ,supply-chain-procurement
66,Senior Category Specialist - Sourcing - Supply Chain Management,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,supply-chain-procurement
67,Spare Parts Assistant - Kurunegala / Anuradhapura / Ratnapura,Ideal Group,Gampaha,Full-Time,20/05/2022 ,supply-chain-procurement
68,Stores Assistant | Colombo,LOLC Holdings PLC,Colombo,Full-Time,20/05/2022 ,supply-chain-procurement
69,Senior Executive - Exports | Moratuwa,Trickle,Colombo,Full-Time,24/05/2022 ,supply-chain-procurement
70,ගබඩා සහායක - රත්මලාන | Store Picker - Ratmalana,Ideal Group,Colombo,Full-Time,18/05/2022 ,supply-chain-procurement
71,ගබඩා සහයක | Warehouse Assistant - Kotikawaththa,John Keells Logistics (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,supply-chain-procurement
72,ගබඩා සහයක | Warehouse Assistant - Pettah,John Keells Logistics (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,supply-chain-procurement
73,පළපුරුදු ලොරි රථ රියදුරු | Experienced Lorry Driver - Enderamulla / Avissawella,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,18/05/2022 ,supply-chain-procurement
74,Yard Executive - Abans Logistics,Abans PLC,Gampaha,Full-Time,18/05/2022 ,supply-chain-procurement
75,Third Party Risk Management - Case Advisor,HSBC Bank,Colombo,Full-Time,18/05/2022 ,supply-chain-procurement
76,Import / Export Documentation Executive,Abans PLC,Colombo,Full-Time,18/05/2022 ,supply-chain-procurement
77,ගබඩා සහකාර / අභ්‍යාසලාභී (පංචිකාවත්ත) | Stores Assistant / Trainee (Panchikawatta),Ideal Group,Colombo,Full-Time,18/05/2022 ,supply-chain-procurement
78,Finance Associate - Stores Operation (Male Candidate Only),Watercare Technologies (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,supply-chain-procurement
79,Warehouse Supervisor - Enderamulla / Peliyagoda,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,18/05/2022 ,supply-chain-procurement
