,Title,Employee,Location,type,Expire_date,catogry
0,Technical Officers / Hardware & Network Technician,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,technical
1,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
2,A/C Technician - A/C කාර්මික ශිල්පියා,Abans PLC,Colombo,Full-Time,30/05/2022 ,technical
3,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
4,Technician (Service & Maintenance) ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,technical
5,Trainee Technician ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,technical
6,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
7,Engineering Service Executives | Mankulam / Kilinochchi / Paranthan / Puthukkudiyiruppu / Mallavi / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Jaffna,Kilinochchi,...",Full-Time,30/05/2022 ,technical
8,Engineering Service Executives | Vavuniya / Medawachchiya / Padaviya / Kebithigollawa / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Anuradhapura,Mannar...",Full-Time,30/05/2022 ,technical
9,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
10,Engineering Service Executives | Mankulam / Kilinochchi / Paranthan / Puthukkudiyiruppu / Mallavi / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Jaffna,Kilinochchi,...",Full-Time,30/05/2022 ,technical
11,Trainee Technician ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,technical
12,විදුලි මෝටර් ඔතන්නන් - පෑලියගොඩ  | Electric Motor Winders - Peliyagoda ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
13,Engineering Service Executives | Vavuniya / Medawachchiya / Padaviya / Kebithigollawa / Mannar / Trincomalee,Data Management Systems (Pvt) Ltd,"Anuradhapura,Mannar...",Full-Time,30/05/2022 ,technical
14,Technician (Service & Maintenance) ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,technical
15,වෑද්දුම් ශිල්පීන් - ඒකල / පෑලියගොඩ / ගනේමුල්ල | Fitters - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
16,A/C Technician - A/C කාර්මික ශිල්පියා,Abans PLC,Colombo,Full-Time,30/05/2022 ,technical
17,වායුසමීකරණ කාර්මික ශිල්පී - ඒකල | A/C Technician - Ekala ,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
18,Technical Officers / Hardware & Network Technician,Company Name Withheld 518,Colombo,Full-Time,30/05/2022 ,technical
19,ෆැබ්‍රික‍ෙටර්ස් - ඒකල  | Steel Fabricators | Ekala,Solex Group of Companies,Gampaha,Full-Time,30/05/2022 ,technical
20,Technician : Electronic - කාර්මික: ඉලෙක්ට්‍රොනික,Levlin Holdings (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,technical
21,Assistant to Fabrication Department,Levlin Holdings (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,technical
22,Maintenance Assistant - Male | නඩත්තු සහකාර - පිරිමි,Mega Pay (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,technical
23,Maintenance – Team member,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,technical
24,HVAC කාර්මික | HVAC Technician - කෙරවලපිටිය,Keells ,Colombo,Full-Time,30/05/2022 ,technical
25,ජලනල කාර්මික | Plumber - කෙරවලපිටිය,Keells ,Colombo,Full-Time,30/05/2022 ,technical
26,Electronic Technician,Emerging Media,Colombo,Full-Time,30/05/2022 ,technical
27,ශීතාගාර කාර්මික | Refrigeration Technicians (Cold Rooms) - කෙරවලපිටිය	,Keells ,Colombo,Full-Time,30/05/2022 ,technical
28,Production Supervisor,Switz Lanka Pvt Ltd,Puttalam,Full-Time,30/05/2022 ,technical
29,Engineering Service Executives - Colombo ,Data Management Systems (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,technical
30,"Lathe/CNC Machine Operators, Mould Maker and Labors",Amila Metal Craft (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,technical
31,Walk In Interview : Skilled - Mechanic / Painter / Technician / Tinker / Lubricant Technician / Auto AC Electrician / Auto Parts Assistant,Ideal Group,"Hambantota,Puttalam...",Full-Time,17/05/2022 ,technical
32,Maintenance Technician | නඩත්තු කාර්මික,Raffles Consolidated (Pvt) Ltd,Colombo,Permanent,27/05/2022 ,technical
33,Bodyshop Incharge - Puttalam,Ideal Group,Puttalam,Urgent,25/05/2022 ,technical
34,Intern - Technical,John Keells Office Automation (Pvt) Ltd.,Colombo,Full-Time,19/05/2022 ,technical
35,Wheel Alignment Technician - Vavuniya,Ideal Group,Vavuniya,Urgent,20/05/2022 ,technical
36,Supervisor / Technical Officer-Aluminium,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,technical
37,"Junior Executive (Kiln, Crusher, Electrolysis processes) - Katunayake | Male",Ceylon Waste Management Refinery (Private) Limited,"Gampaha,Colombo",Full-Time,23/05/2022 ,technical
38,Technical Officer - Fixed Network Planning and Compliance,Dialog Axiata PLC,Colombo,Full-Time,15/06/2022 ,technical
39,ServiceNow Developer,ESSHVA,Colombo,Full-Time,27/05/2022 ,technical
40,Technical Officer (Laboratory),University of Vocational Technology,"Kegalle,Kurunagala,...",Permanent,31/05/2022 ,technical
41,Consulting -Digital & Emerging Technologies – Technical Project Manager ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,technical
42,Lecturer (Probationary / Unconfirmed) / Senior Lecturer Grade II/I,University of Colombo,Colombo,Permanent,16/05/2022 ,technical
43,AC Technician - කාර්මික ශිල්පී - වායු සමීකරණ,Vogue Jewellers (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,technical
44,Technical Officer – Network Operation Centre,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,technical
45,Technical Officer - Access Network Planning,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,technical
46,Technical Officer - Customer Resolution Centre,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,technical
47,Electrical Technicians / විදුලි කාර්මික ශිල්පීන්,Australian Talent Network,Colombo,Full-Time,26/05/2022 ,technical
48,Technical Project Manager ,EY Global Delivery Services,Colombo,Full-Time,26/05/2022 ,technical
49,Maintenance Man – 35 Nos /  Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,26/05/2022 ,technical
50,Automobile Engineer - Male,Sri Lanka Navy,Colombo,Permanent,05/06/2022 ,technical
51,Maintenance – Supervisor ,Pizza Hut Sri Lanka,Colombo,Full-Time,26/05/2022 ,technical
52,Refrigeration Mechanic & Welders,Tisara Engineering Services Pvt Ltd,Colombo,Full-Time,25/05/2022 ,technical
53,මෝටර් රථ ටින්කර් - Automobile Tinker | Kurunegala / Dambulla / Anuradhapura / Vavuniya / Wanawasala / Puttalam,Ideal Group,"Puttalam,Vavuniya,...",Full-Time,26/05/2022 ,technical
54,Motor Cycle Mechanic/ යතුරුපැදි කාර්මිකයින් ,T.D.N Fernando & Co (PVT) LTD.,Colombo,Full-Time,25/05/2022 ,technical
