,Title,Employee,Location,type,Expire_date,catogry
0,Senior Associate - CESM Support Center,Dialog Axiata PLC,Colombo,Full-Time,02/06/2022 ,telecommunications
1,Technical Officer – Network Operation Centre,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
2,Specialist - Mobile and Fixed Broadband Operations,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
3,Head of Delivery,Dialog Axiata PLC,Colombo,Full-Time,20/06/2022 ,telecommunications
4,Technical Officer - Fixed Network Planning and Compliance,Dialog Axiata PLC,Colombo,Full-Time,15/06/2022 ,telecommunications
5,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
6,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
7,Customer Service Associate - Full Time / Part Time,Dialog Business Services (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,telecommunications
8,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,telecommunications
9,Assistant Manager - Business Process Transformation,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
10,Technical Officer – Network Operation Centre,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
11,Customer Service Associate - Full Time / Part Time,Dialog Business Services (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,telecommunications
12,Assistant Manager - Business Process Transformation,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
13,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
14,Customer Service Executive / Commercial Executive,GEX Logistics Sri Lanka,Colombo,Full-Time,30/05/2022 ,telecommunications
15,Technical Officer - Fixed Network Planning and Compliance,Dialog Axiata PLC,Colombo,Full-Time,15/06/2022 ,telecommunications
16,Head of Delivery,Dialog Axiata PLC,Colombo,Full-Time,20/06/2022 ,telecommunications
17,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
18,Specialist - Mobile and Fixed Broadband Operations,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
19,Senior Associate - CESM Support Center,Dialog Axiata PLC,Colombo,Full-Time,02/06/2022 ,telecommunications
20,Account Manager - Enterprise Digital Engagement,Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,telecommunications
21,"Senior Executive - Effectiveness, Process and Risk Management",Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
22,Specialist - Access Network Operations ,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
23,Business Development Manager,Dialog Axiata PLC,Colombo,Full-Time,17/05/2022 ,telecommunications
24,Senior Executive - Group Financial Accounting and Reporting,Dialog Axiata PLC,Colombo,Full-Time,26/05/2022 ,telecommunications
25,Technical Officer - Customer Resolution Centre,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
26,Account Manager - Data Center and Cloud Services,Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,telecommunications
27,Technical Officer - Access Network Planning,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
28,Wealth Planners - Premier Agency Circle ,AIA Sri Lanka,Colombo,Full-Time,25/05/2022 ,telecommunications
29,Engineering Executive - Customer Resolution Centre,Dialog Axiata PLC,Colombo,Full-Time,15/06/2022 ,telecommunications
30,Client Relationship Executive ,Premium Support,Colombo,Full-Time,25/05/2022 ,telecommunications
31,Walk in Interview : Customer Service Associates ,Dialog Business Services (Pvt) Ltd,Colombo,Full-Time,23/05/2022 ,telecommunications
32,Unit Manager - Group Corporate Planning and Strategy,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
33,Customer Experience Associate,Dialog Axiata PLC,Gampaha,Full-Time,30/05/2022 ,telecommunications
34,Lead Generation Associate,First Notch (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,telecommunications
35,Client Relationship Executive - Hindi / Arabic / German / Russian Speakers ,Premium Support,Colombo,Full-Time,24/05/2022 ,telecommunications
36,Senior Category Specialist - Sourcing - Supply Chain Management,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,telecommunications
37,Senior Executive - Network and System Provisioning,Dialog Axiata PLC,Colombo,Full-Time,20/05/2022 ,telecommunications
38,Engineer - Enterprise Solutions Engineering,Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,telecommunications
39,Walk in Interview : Call Center Vacancies,Dialog Business Services (Pvt) Ltd,Colombo,Full-Time,23/05/2022 ,telecommunications
40,Design and Site Engineer,Titan Engineering (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,telecommunications
41,Trainee Client Relationship Executives,Premium Support,Colombo,Full-Time,19/05/2022 ,telecommunications
42,Trainee Business Development Executive,Alpho Lanka (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,telecommunications
43,Device Sales Team,Stelacom (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,telecommunications
44,Regional Business Analyst - National Sales,Dialog Axiata PLC,Colombo,Full-Time,18/05/2022 ,telecommunications
45,Account Manager – DTV Advertising Sales,Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,telecommunications
46,Wealth Planner,AIA Insurance,Colombo,Full-Time,19/05/2022 ,telecommunications
47,Product Head – Digital Telco,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,telecommunications
48,Implementation Engineer,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,17/05/2022 ,telecommunications
49,Project Manager - Enterprise Programme Management Office,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
50,"Assistant Manager - Cloud, IOT and SaaS Services Solution Engineering",Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,telecommunications
51,Senior Analytics Translator,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,telecommunications
52,Unit Manager - Strategic Digital Initiatives,Dialog Axiata PLC,Colombo,Full-Time,22/05/2022 ,telecommunications
53,Specialist - Subscriber Applications and OTT,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
54,Deputy Corporate Secretary,Dialog Axiata PLC,Colombo,Full-Time,22/05/2022 ,telecommunications
55,Senior Executive - Tech Evangelist - IdeaMart,Dialog Axiata PLC,Colombo,Full-Time,11/06/2022 ,telecommunications
56,Digital Marketing Executive,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,telecommunications
57,Intern - Data Analyst,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
58,Assistant Manager - Cyber Security Governance and Compliance,Dialog Axiata PLC,Colombo,Full-Time,28/05/2022 ,telecommunications
59,ක්ෂේත්‍ර විකුණුම් විධායකයින් - පිරිමි |පානදුර / කළුතර (Field Sales Executives - Male | Panadura / Kalutara),Bharti Airtel Lanka (Pvt) Ltd,Kalutara,Full-Time,20/05/2022 ,telecommunications
60,Technical Officer - Core Site Operations,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
61,Clerk - Group Corporate Services,Dialog Axiata PLC,Colombo,Full-Time,22/05/2022 ,telecommunications
62,Technical Officer - Western Region CFSS,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
63,Engineer - Access Network Operations,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,telecommunications
64,Manager - Distribution Operations,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
65,Head of Finance and Strategy,Dialog Axiata PLC,Colombo,Full-Time,25/05/2022 ,telecommunications
66,Assistant Engineer - Regional Planning and Optimization,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
67,IT Technician (Filed) - Colombo,Abans PLC,Colombo,Full-Time,25/05/2022 ,telecommunications
68,Project Manager - New Product and Innovation,Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,telecommunications
69,Assistant Engineer - IDC Infrastructure Planning and Operations,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,telecommunications
