,Title,Employee,Location,type,Expire_date,catogry
0,External Trainers,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,training-development
1,Trainee Officer - Finance Operations | Rajagiriya,LOLC Holdings PLC,Colombo,Full-Time,24/05/2022 ,training-development
2,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,training-development
3,Management Trainee,Abans PLC,Colombo,Full-Time,30/05/2022 ,training-development
4,Trainee Technician ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,training-development
5,Management Trainee Programme ,Keells ,Colombo,Full-Time,30/05/2022 ,training-development
6,Junior Human Resources Executive ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,training-development
7,Executive - Academic Programs Management | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,training-development
8,Communication Coach,HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,24/05/2022 ,training-development
9,Executive – Customer Relations | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,training-development
10,Executive - Academic Programs Management | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,training-development
11,External Trainers,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,training-development
12,Communication Coach,HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,24/05/2022 ,training-development
13,Management Trainee,Abans PLC,Colombo,Full-Time,30/05/2022 ,training-development
14,Executive – Customer Relations | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,training-development
15,Trainee Technician ,GTA Refrigeration Private Limited,Colombo,Full-Time,30/05/2022 ,training-development
16,Trainee Officer - Finance Operations | Rajagiriya,LOLC Holdings PLC,Colombo,Full-Time,24/05/2022 ,training-development
17,Junior Human Resources Executive ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,training-development
18,Management Trainee (Production),TalentCorp (Pvt) Ltd,Kurunagala,Permanent,30/05/2022 ,training-development
19,Management Trainee Programme ,Keells ,Colombo,Full-Time,30/05/2022 ,training-development
