,Title,Employee,Location,type,Expire_date,catogry
0,Assistant Manager – Inbound Tours (Male / Female),Star Quest Company (Pvt) Ltd ,Colombo,Full-Time,27/05/2022 ,travel
1,Front Desk Executive (Female) ,Thelivu Consultation (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,travel
2,Customer Service Executive/ Managers,Nexa One Pty Ltd,Colombo,Full-Time,24/05/2022 ,travel
3,Travel Consultants ,Konnect BPO,Colombo,Full-Time,19/05/2022 ,travel
4,Customer Care Executives,Resident Immigration Consultancy (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,travel
5,Senior Marketing Executive - Male/Female,Trans Gulf Colombo (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,travel
6,Customer Relationship Assistant,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,travel
7,Manager - Study Abroad,SEI Campus,Colombo,Full-Time,25/05/2022 ,travel
8,Sales Executive : Freight Forwarding,Kintetsu World Express Lanka (Pvt)Ltd,Colombo,Full-Time,25/05/2022 ,travel
9,Internal Auditor : Male,Trans Gulf Colombo (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,travel
10,Manager - Study Abroad,SEI Campus,Colombo,Full-Time,25/05/2022 ,travel
11,Customer Relationship Assistant,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,travel
12,Customer Service Executive/ Managers,Nexa One Pty Ltd,Colombo,Full-Time,24/05/2022 ,travel
13,Front Desk Executive (Female) ,Thelivu Consultation (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,travel
14,Travel Consultants ,Konnect BPO,Colombo,Full-Time,19/05/2022 ,travel
15,Customer Care Executives,Resident Immigration Consultancy (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,travel
16,Senior Marketing Executive - Male/Female,Trans Gulf Colombo (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,travel
17,Sales Executive : Freight Forwarding,Kintetsu World Express Lanka (Pvt)Ltd,Colombo,Full-Time,25/05/2022 ,travel
18,Internal Auditor : Male,Trans Gulf Colombo (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,travel
19,Assistant Manager – Inbound Tours (Male / Female),Star Quest Company (Pvt) Ltd ,Colombo,Full-Time,27/05/2022 ,travel
