,Title,Employee,Location,type,Expire_date,catogry
0,Crew Member - (Full Time) - Pitakotte,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
1,Walk In interview : Internship – Marketing / Management / Data Science /IT,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,walkin
2,Customer Service Assistant (Trainee / Experienced) - Kurunegala,Softlogic GLOMARK,Kurunagala,Full-Time,30/05/2022 ,walkin
3,Crew Member - (Full Time) - Piliyandala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
4,Crew Member - (Full Time) - Union Place,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
5,Crew Member - (Full Time) - Seeduwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,30/05/2022 ,walkin
6,Crew Member - (Full Time) - Kiribathgoda,Domino's Pizza Sri Lanka,"Colombo,Gampaha",Full-Time,30/05/2022 ,walkin
7,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,walkin
8,Crew Member - (Full Time) - Kottawa,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
9,Crew Member - (Full Time) - Nawala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
10,Crew Member - (Full Time) - Piliyandala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
11,Crew Member - (Full Time) - Kiribathgoda,Domino's Pizza Sri Lanka,"Colombo,Gampaha",Full-Time,30/05/2022 ,walkin
12,Walk In interview : Internship – Marketing / Management / Data Science /IT,Durdans Hospital,Colombo,Full-Time,30/05/2022 ,walkin
13,Crew Member - (Full Time) - Seeduwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,30/05/2022 ,walkin
14,Crew Member - (Full Time) - Kottawa,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
15,Crew Member - (Full Time) - Nawala,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
16,Customer Service Assistant (Trainee / Experienced) - Kurunegala,Softlogic GLOMARK,Kurunagala,Full-Time,30/05/2022 ,walkin
17,Delivery Rider ( Full- Time) - Embuldeniya,Pizza Hut Sri Lanka,Colombo,Full-Time or Part-Time,30/05/2022 ,walkin
18,Crew Member - (Full Time) - Pitakotte,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
19,Crew Member - (Full Time) - Union Place,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
20,Delivery Rider (Full- Time) - Delgoda,Pizza Hut Sri Lanka,Colombo,Full-Time,27/05/2022 ,walkin
21,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,walkin
22,Crew Member - (Full Time) - Aluthgama,Domino's Pizza Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
23,Delivery Rider (Full- Time) - Mount Lavinia ( TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,20/05/2022 ,walkin
24,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,walkin
25,Delivery Rider (Full- Time) - Horana,Pizza Hut Sri Lanka,Gampaha,Full-Time,27/05/2022 ,walkin
26,Trainee Shift Managers | Colombo,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,walkin
27,Walk In Interview : Skilled - Mechanic / Painter / Technician / Tinker / Lubricant Technician / Auto AC Electrician / Auto Parts Assistant,Ideal Group,"Hambantota,Puttalam...",Full-Time,17/05/2022 ,walkin
28,"WALK IN INTERVIEW : Crew Member/ Kitchen Helper -  (කොළඹ 05, නාවල, ගල්කිස්ස, කොළඹ 03, තලවතුගොඩ) | Full'r",Giga Foods Pvt Ltd,IslandWide,Full-Time,20/05/2022 ,walkin
29,Delivery Riders - (Full-Time) - Kottawa | Male TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,19/05/2022 ,walkin
30,Delivery Riders / Senior Delivery Riders ,Burger King,"Colombo,Gampaha,Ka...",Full-Time,27/05/2022 ,walkin
31,Crew Member / Senior Crew Member ,Burger King,"Colombo,Gampaha",Full-Time,27/05/2022 ,walkin
32,Crew Members / Senior Crew Members | Moratuwa / Town Hall (ODEL),Baskin Robbins,Colombo,Full-Time,27/05/2022 ,walkin
33,Delivery Rider (Full Time) – Rathnapura District ,Pizza Hut Sri Lanka,Ratnapura,Full-Time,27/05/2022 ,walkin
34,Trolly Pusher & Baggers - Part Time - Negombo,Softlogic GLOMARK,Gampaha,Part-Time,27/05/2022 ,walkin
35,Walk In interview : Cashier Cum Clerk | Negombo / Matara / Kurunegala,Durdans Hospital,Kurunagala,Full-Time,27/05/2022 ,walkin
36,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Nawala,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,walkin
37,Delivery Rider (Full- Time) - Kalmunai,Pizza Hut Sri Lanka,Batticaloa,Full-Time,27/05/2022 ,walkin
38,Commi I / Commi II / Commi III / Cashier - (Trainee/Experienced) - Mount Lavania,Softlogic GLOMARK,Colombo,Full-Time,27/05/2022 ,walkin
39,Walk In interview : Customer Relations Officer,Durdans Hospital,Colombo,Full-Time,27/05/2022 ,walkin
40,Customer Service Assistant (Trainee / Experienced) - Delkanda,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,walkin
41,Walk In Interview : Customer Service Assistant / Cashier / Hot Kitchen / Bakery ,Keells ,Colombo,Full-Time,26/05/2022 ,walkin
42,Delivery Rider (Full- Time) - Athurugiriya,Pizza Hut Sri Lanka,Colombo,Full-Time,26/05/2022 ,walkin
43,Barista ,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,walkin
44,Chef / Cook,Resident Immigration Consultancy (Pvt) Ltd,ForeignJob,Full-Time,26/05/2022 ,walkin
45,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Delkanda,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,walkin
46,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Kottawa,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,walkin
47,Trolly Pusher & Baggers - Part Time - Malabe,Softlogic GLOMARK,Colombo,Part-Time,25/05/2022 ,walkin
48,Walk In Interview : Customer Service Assistant / Cashier / Hot Kitchen / Bakery | Galle,Keells ,Galle,Full-Time,26/05/2022 ,walkin
49,Commi I/ Commi II / Commi III / Cashier - (Trainee/Experienced) - Mount Lavania,Softlogic GLOMARK,Colombo,Full-Time,25/05/2022 ,walkin
50,Crew Member - (Full Time) - Nittambuwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 ,walkin
51,Crew Member - (Full Time) - Havelock,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 ,walkin
52,Crew Member - (Full Time) - Minuwangoda,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 ,walkin
53,Crew Member - (Full Time) - Mathugama ,Domino's Pizza Sri Lanka,Kalutara,Full-Time,25/05/2022 ,walkin
54,Crew Member - (Full Time) - Ragama,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 ,walkin
55,Crew Member / Senior Crew Member | Katunayake - BIA,Burger King,Gampaha,Full-Time,25/05/2022 ,walkin
56,Crew Member - (Full Time) - Kolonnawa ,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 ,walkin
57,Crew Member - (Full Time) - Kotahena ,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 ,walkin
58,Trolly Pusher & Baggers - Part Time - Thalawathugoda ,Softlogic GLOMARK,Colombo,Part-Time,24/05/2022 ,walkin
59,Crew Member - (Full Time) - Katugasthota,Domino's Pizza Sri Lanka,Kandy,Full-Time,25/05/2022 ,walkin
60,Walk in Interview : Call Center Vacancies,Dialog Business Services (Pvt) Ltd,Colombo,Full-Time,23/05/2022 ,walkin
61,"WALK IN INTERVIEW : Crew Member/ Kitchen Helper -  (කොළඹ 05, නාවල, ගල්කිස්ස, කොළඹ 03, තලවතුගොඩ)  | Giga Foods",Giga Foods Pvt Ltd,IslandWide,Full-Time,20/05/2022 ,walkin
62,Janitor ,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,walkin
63,Walk in Interview : Customer Service Associates ,Dialog Business Services (Pvt) Ltd,Colombo,Full-Time,23/05/2022 ,walkin
